r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.3593375,2.201241,1.6497325,0.02799635,0.0018235003,-0.002814305,0.043096006,0.019922595
0.5964221,1.5175047,-1.819085,0.02799635,0.0018235003,-0.002814305,0.07866962,0.019922595
0.55159116,1.9985516,-2.0633936,0.02799635,0.0018235003,-0.002814305,0.085518986,0.019922595
0.54192245,0.92113143,-1.124951,0.02799635,0.0018235003,-0.002814305,0.047124803,0.019922595
0.5175718,2.378421,-1.4592922,0.02799635,0.0018235003,-0.002814305,0.022384912,0.019922595
0.5983438,0.99530745,0.7133866,0.02799635,0.0018235003,-0.002814305,0.06075056,0.019922595
0.4819797,2.786285,-0.36511013,0.02799635,0.0018235003,-0.002814305,-0.076465875,0.019922595
0.5092881,1.6501015,1.0014874,0.02799635,0.0018235003,-0.002814305,0.1029827,0.019922595
0.37368312,1.1345828,-0.55676484,0.02799635,0.0018235003,-0.002814305,0.0842954,0.019922595
0.7501537,2.1194513,2.9541671,0.02799635,0.0018235003,-0.002814305,0.057491064,0.019922595
0.33607197,0.9893816,0.4395542,0.02799635,0.0018235003,-0.002814305,0.046431765,0.019922595
0.6128298,2.4251146,-3.0174851,0.02799635,0.0018235003,-0.002814305,0.033503085,0.019922595
0.34832734,2.2474425,-2.6578975,0.02799635,0.0018235003,-0.002814305,0.029520929,0.019922595
0.6800372,0.9165942,-3.0083902,0.02799635,0.0018235003,-0.002814305,0.055176273,0.019922595
0.7376533,1.1679047,2.8927326,0.02799635,0.0018235003,-0.002814305,0.06540124,0.019922595
0.6324662,2.2353477,0.24575175,0.02799635,0.0018235003,-0.002814305,0.051760256,0.019922595
0.6778927,2.3829076,1.7374452,0.02799635,0.0018235003,-0.002814305,0.03952399,0.019922595
0.5455965,0.4954421,-3.0642982,0.02799635,0.0018235003,-0.002814305,-0.032186776,0.019922595
0.32654598,2.2490244,0.14296766,0.02799635,0.0018235003,-0.002814305,0.02494058,0.019922595
0.4423948,0.6133967,1.3842185,0.02799635,0.0018235003,-0.002814305,-0.051609397,0.019922595
0.52399325,1.5480857,2.897611,0.02799635,0.0018235003,-0.002814305,0.09801562,0.019922595
0.42759675,0.8214674,-1.9579804,0.02799635,0.0018235003,-0.002814305,0.0074388534,0.019922595
0.60455966,1.9037132,1.432802,0.02799635,0.0018235003,-0.002814305,0.084175825,0.019922595
0.6491853,1.8310444,-0.39825538,0.02799635,0.0018235003,-0.002814305,0.078953445,0.019922595
0.37845173,1.8663362,-0.8884442,0.02799635,0.0018235003,-0.002814305,0.10454625,0.019922595
0.5440966,2.5506797,2.4432595,0.02799635,0.0018235003,-0.002814305,-0.0045986474,0.019922595
0.6778969,0.8960586,-0.54404396,0.02799635,0.0018235003,-0.002814305,0.05411479,0.019922595
0.3169963,1.0746104,2.4380472,0.02799635,0.0018235003,-0.002814305,0.064762145,0.019922595
0.447098,1.4331977,1.725881,0.02799635,0.0018235003,-0.002814305,0.10743262,0.019922595
0.6583961,2.2633052,-1.320583,0.02032875,0.001185932,0.0002624204,0.04261902,-0.0052010003
0.6278307,0.84353447,-2.5605206,0.02032875,0.001185932,0.0002624204,0.04966706,-0.0052010003
0.44427857,1.437836,-0.66661,0.02032875,0.001185932,0.0002624204,0.11036141,-0.0052010003
0.54877996,1.3249924,-1.3003267,0.02032875,0.001185932,0.0002624204,0.08622366,-0.0052010003
0.40417624,1.7338835,3.0587325,0.02032875,0.001185932,0.0002624204,0.11882478,-0.0052010003
0.55907536,1.5711644,1.8900374,0.02032875,0.001185932,0.0002624204,0.09561118,-0.0052010003
0.4244343,0.5980219,2.2371256,0.02032875,0.001185932,0.0002624204,-0.052110776,-0.0052010003
0.5024717,2.4836895,-0.40466353,0.02032875,0.001185932,0.0002624204,-0.015885442,-0.0052010003
0.61921394,2.1376722,-2.6037939,0.02032875,0.001185932,0.0002624204,0.057894528,-0.0052010003
0.45899054,1.5884693,0.11353853,0.02032875,0.001185932,0.0002624204,0.11329024,-0.0052010003
0.472941,0.3583125,-2.1357434,0.02032875,0.001185932,0.0002624204,-0.086016834,-0.0052010003
0.5516023,1.1918403,1.3195374,0.02032875,0.001185932,0.0002624204,0.08089141,-0.0052010003
0.5998106,2.4443882,1.3056315,0.02032875,0.001185932,0.0002624204,0.017777264,-0.0052010003
0.51771134,2.7118602,-1.8610662,0.02032875,0.001185932,0.0002624204,-0.051241398,-0.0052010003
0.48445407,1.3091745,-2.5873592,0.02032875,0.001185932,0.0002624204,0.0976468,-0.0052010003
0.5081323,0.98923135,2.9353137,0.02032875,0.001185932,0.0002624204,0.06245204,-0.0052010003
0.6908686,2.109495,0.30659986,0.02032875,0.001185932,0.0002624204,0.053801447,-0.0052010003
0.3945573,2.0030105,-1.2433022,0.02032875,0.001185932,0.0002624204,0.08628407,-0.0052010003
0.75675976,1.0937874,1.8347272,0.02032875,0.001185932,0.0002624204,0.06593864,-0.0052010003
0.6123445,2.199299,2.266463,0.02032875,0.001185932,0.0002624204,0.049250275,-0.0052010003
0.77313066,1.0722059,0.291014,0.02032875,0.001185932,0.0002624204,0.06352745,-0.0052010003
0.38211897,0.9841954,0.7629882,0.02032875,0.001185932,0.0002624204,0.0588478,-0.0052010003
0.66185534,0.931166,-1.7391837,0.02032875,0.001185932,0.0002624204,0.060312822,-0.0052010003
0.29990828,2.5562928,1.6299385,0.02032875,0.001185932,0.0002624204,-0.097934365,-0.0052010003
0.5696105,0.988795,-0.37112564,0.02032875,0.001185932,0.0002624204,0.06382392,-0.0052010003
0.5158811,1.8351072,1.0073539,0.02032875,0.001185932,0.0002624204,0.103678346,-0.0052010003
0.69033706,2.2977314,2.966576,0.02032875,0.001185932,0.0002624204,0.03878647,-0.0052010003
0.57950795,0.8484763,-1.0044441,0.02032875,0.001185932,0.0002624204,0.04522264,-0.0052010003
0.581669,0.56693894,1.1045656,0.02032875,0.001185932,0.0002624204,-0.004796058,-0.0052010003
0.5055767,0.60581535,0.28799015,0.02441522,-0.0008429787,0.0011150441,-0.027804106,-0.03230956
0.48457453,1.5262989,-1.1610327,0.02441522,-0.0008429787,0.0011150441,0.104171425,-0.03230956
0.610857,2.0626917,-1.3916701,0.02441522,-0.0008429787,0.0011150441,0.06865209,-0.03230956
0.7403075,1.172614,1.8052982,0.02441522,-0.0008429787,0.0011150441,0.06769204,-0.03230956
0.32741922,0.4722817,-1.0828084,0.02441522,-0.0008429787,0.0011150441,-0.12699364,-0.03230956
0.44074124,1.1492342,1.1302179,0.02441522,-0.0008429787,0.0011150441,0.08618495,-0.03230956
0.5679068,1.5596583,-2.8054428,0.02441522,-0.0008429787,0.0011150441,0.08651659,-0.03230956
0.36812195,0.5667065,2.693379,0.02441522,-0.0008429787,0.0011150441,-0.085209295,-0.03230956
0.45310247,2.4599836,0.62478745,0.02441522,-0.0008429787,0.0011150441,-0.019779801,-0.03230956
0.5912094,1.0019847,-3.0633674,0.02441522,-0.0008429787,0.0011150441,0.062671036,-0.03230956
0.41314209,1.463608,2.4253964,0.02441522,-0.0008429787,0.0011150441,0.113247976,-0.03230956
0.5726267,2.1756814,1.6649992,0.02441522,-0.0008429787,0.0011150441,0.05809748,-0.03230956
0.55534303,2.3351784,2.8367188,0.02441522,-0.0008429787,0.0011150441,0.03156072,-0.03230956
0.6202463,1.6691827,1.811132,0.02441522,-0.0008429787,0.0011150441,0.08549819,-0.03230956
0.45151237,1.0963702,-2.165849,0.02441522,-0.0008429787,0.0011150441,0.0782386,-0.03230956
0.51223075,1.5450191,0.3785123,0.02441522,-0.0008429787,0.0011150441,0.10010444,-0.03230956
0.34931865,2.93915,-0.810114,0.02441522,-0.0008429787,0.0011150441,-0.18357792,-0.03230956
0.52475977,1.7718918,2.8994653,0.02441522,-0.0008429787,0.0011150441,0.10565898,-0.03230956
