r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.6344809,1.320825,-2.8761668,0.04940563,-0.0004527436,0.002563285,0.114338934,-0.06248311
0.49160564,1.7024822,-2.2158027,0.04940563,-0.0004527436,0.002563285,0.15264541,-0.06248311
0.6904368,2.2830784,2.1326659,0.04940563,-0.0004527436,0.002563285,0.053081363,-0.06248311
0.353818,1.3849156,3.1072037,0.04940563,-0.0004527436,0.002563285,0.14105022,-0.06248311
0.5746113,0.8653726,1.3550984,0.04940563,-0.0004527436,0.002563285,0.014305413,-0.06248311
0.49342135,0.4357897,-1.7207896,0.04940563,-0.0004527436,0.002563285,-0.1352722,-0.06248311
0.4322645,2.4902751,3.017779,0.04940563,-0.0004527436,0.002563285,-0.05875218,-0.06248311
0.245236,0.44858554,-0.2963286,0.04940563,-0.0004527436,0.002563285,-0.3141771,-0.06248311
0.625436,0.7458675,2.8215382,0.04940563,-0.0004527436,0.002563285,0.0027819872,-0.06248311
0.5358128,2.1438098,2.5388064,0.04940563,-0.0004527436,0.002563285,0.08155191,-0.06248311
0.5297756,2.2361066,-2.3190901,0.04940563,-0.0004527436,0.002563285,0.06469011,-0.06248311
0.597287,2.172198,-2.8993912,0.04940563,-0.0004527436,0.002563285,0.074331164,-0.06248311
0.7778561,1.061543,0.23527957,0.04940563,-0.0004527436,0.002563285,0.056675375,-0.06248311
0.52665055,1.5444336,2.0293534,0.04940563,-0.0004527436,0.002563285,0.13948289,-0.06248311
0.48947257,0.8671925,0.58959764,0.04940563,-0.0004527436,0.002563285,0.008801639,-0.06248311
0.6916187,2.3417063,1.0768496,0.04940563,-0.0004527436,0.002563285,0.043980718,-0.06248311
0.43442258,0.49125996,2.3659897,0.04940563,-0.0004527436,0.002563285,-0.17473891,-0.06248311
0.38165444,1.0808307,-0.8806489,0.04940563,-0.0004527436,0.002563285,0.08588016,-0.06248311
0.5072354,1.8983498,-1.3773361,0.04940563,-0.0004527436,0.002563285,0.13009942,-0.06248311
0.2871233,2.0037544,1.880234,0.04940563,-0.0004527436,0.002563285,0.06354189,-0.06248311
0.6717946,0.8491582,2.3273416,0.04940563,-0.0004527436,0.002563285,0.03236139,-0.06248311
0.6275164,2.2416537,-1.2201877,0.04940563,-0.0004527436,0.002563285,0.058500946,-0.06248311
0.28095326,1.1392604,1.1497782,0.04940563,-0.0004527436,0.002563285,0.030644566,-0.06248311
0.49253806,1.8937361,1.5369515,0.04940563,-0.0004527436,0.002563285,0.13330859,-0.06248311
0.63732934,1.4705333,-1.2948399,0.04940563,-0.0004527436,0.002563285,0.12313008,-0.06248311
0.57846075,2.3471339,-0.63669616,0.04940563,-0.0004527436,0.002563285,0.04007432,-0.06248311
0.53030044,2.7900274,-0.389784,0.04940563,-0.0004527436,0.002563285,-0.1198497,-0.06248311
0.28394204,1.9152337,0.38282225,0.04940563,-0.0004527436,0.002563285,0.08154476,-0.06248311
0.2614972,3.0355175,-0.28294408,0.04940563,-0.0004527436,0.002563285,-0.45966426,-0.06248311
0.5250263,1.331601,1.3520501,0.04200431,-0.00093793776,0.0066545075,0.12473515,-0.011084906
0.5538668,2.277139,-1.9947126,0.04200431,-0.00093793776,0.0066545075,0.058348536,-0.011084906
0.47350216,1.3874258,-0.13254523,0.04200431,-0.00093793776,0.0066545075,0.1469577,-0.011084906
0.33794346,2.025587,-2.1790266,0.04200431,-0.00093793776,0.0066545075,0.087999016,-0.011084906
0.24044146,0.110606275,-3.1062057,0.04200431,-0.00093793776,0.0066545075,-0.4398281,-0.011084906
0.45873064,1.2891597,2.295536,0.04200431,-0.00093793776,0.0066545075,0.13152993,-0.011084906
0.26874137,1.6785625,0.41760686,0.04200431,-0.00093793776,0.0066545075,0.08595508,-0.011084906
0.616777,1.5521872,-3.033857,0.04200431,-0.00093793776,0.0066545075,0.13053638,-0.011084906
0.72404796,2.2518651,1.9523482,0.04200431,-0.00093793776,0.0066545075,0.058121443,-0.011084906
0.57253927,0.71246225,-0.8964782,0.04200431,-0.00093793776,0.0066545075,-0.017137945,-0.011084906
0.6695482,2.0049956,-1.4194015,0.04200431,-0.00093793776,0.0066545075,0.085989505,-0.011084906
0.34216616,2.951826,1.2442896,0.04200431,-0.00093793776,0.0066545075,-0.38284117,-0.011084906
0.7040681,2.3331406,-1.2122387,0.04200431,-0.00093793776,0.0066545075,0.0452542,-0.011084906
0.66836226,0.82306534,0.14043377,0.04200431,-0.00093793776,0.0066545075,0.033311427,-0.011084906
0.48518452,1.4480773,-1.0861114,0.04200431,-0.00093793776,0.0066545075,0.15162706,-0.011084906
0.69960815,1.8169311,1.8160901,0.04200431,-0.00093793776,0.0066545075,0.10312635,-0.011084906
0.66040313,1.1128831,-2.7717211,0.04200431,-0.00093793776,0.0066545075,0.07895625,-0.011084906
0.49410114,1.5435084,-2.4596763,0.04200431,-0.00093793776,0.0066545075,0.15700024,-0.011084906
0.5339795,0.6925931,0.9717191,0.04200431,-0.00093793776,0.0066545075,-0.04016286,-0.011084906
0.634105,2.2766654,0.48568308,0.04200431,-0.00093793776,0.0066545075,0.05361435,-0.011084906
0.4880935,2.1573818,1.5944064,0.04200431,-0.00093793776,0.0066545075,0.085333765,-0.011084906
0.59139913,0.8608367,1.7842826,0.04200431,-0.00093793776,0.0066545075,0.014126062,-0.011084906
0.27491552,1.2917136,-2.6810608,0.04200431,-0.00093793776,0.0066545075,0.057490468,-0.011084906
0.64935684,2.1258976,-2.5826583,0.04200431,-0.00093793776,0.0066545075,0.07573676,-0.011084906
0.45186555,1.8455768,-0.53841406,0.04200431,-0.00093793776,0.0066545075,0.15020248,-0.011084906
0.2948428,2.1349216,-1.0920873,0.04200431,-0.00093793776,0.0066545075,0.017101586,-0.011084906
0.5979487,0.84409666,2.5652416,0.04200431,-0.00093793776,0.0066545075,0.0102748275,-0.011084906
0.58590317,1.6250988,0.46255174,0.04200431,-0.00093793776,0.0066545075,0.13152531,-0.011084906
0.4789866,0.39461774,-1.5366633,0.04200431,-0.00093793776,0.0066545075,-0.16869798,-0.011084906
0.52160263,0.97618526,-1.9337846,0.04076915,-0.0024002276,0.0016808879,0.05185342,0.011291095
0.585903,2.1061935,-1.7895348,0.04076915,-0.0024002276,0.0016808879,0.08146924,0.011291095
0.4807615,0.3034097,2.3640778,0.04076915,-0.0024002276,0.0016808879,-0.17892033,0.011291095
0.46593574,0.44177657,0.78167194,0.04076915,-0.0024002276,0.0016808879,-0.1582734,0.011291095
0.27409866,1.6661516,-1.4047946,0.04076915,-0.0024002276,0.0016808879,0.09551638,0.011291095
0.39668378,1.7404025,-0.71067315,0.04076915,-0.0024002276,0.0016808879,0.16152915,0.011291095
0.43712333,1.9999983,1.6147217,0.04076915,-0.0024002276,0.0016808879,0.12373635,0.011291095
0.53519154,1.273507,3.0807247,0.04076915,-0.0024002276,0.0016808879,0.11197084,0.011291095
0.58004695,0.5548075,-2.7135432,0.04076915,-0.0024002276,0.0016808879,-0.030545115,0.011291095
0.53256863,0.70501804,-1.0514367,0.04076915,-0.0024002276,0.0016808879,-0.031135201,0.011291095
0.6362147,1.8966112,-1.1216105,0.04076915,-0.0024002276,0.0016808879,0.10034132,0.011291095
0.3943201,2.5014594,3.013759,0.04076915,-0.0024002276,0.0016808879,-0.10158053,0.011291095
0.34479707,2.5749395,1.4597018,0.04076915,-0.0024002276,0.0016808879,-0.19579479,0.011291095
0.59844637,2.4926817,-0.7416045,0.04076915,-0.0024002276,0.0016808879,0.007124841,0.011291095
0.6334372,1.8314834,0.29931903,0.04076915,-0.0024002276,0.0016808879,0.10797283,0.011291095
0.6042535,2.3862474,0.6079885,0.04076915,-0.0024002276,0.0016808879,0.02881816,0.011291095
0.3643035,1.6579694,2.906029,0.04076915,-0.0024002276,0.0016808879,0.16163743,0.011291095
0.718014,2.2886698,3.0132146,0.04076915,-0.0024002276,0.0016808879,0.05453825,0.011291095
0.4732586,1.9023472,0.8452738,0.04076915,-0.0024002276,0.0016808879,0.13534743,0.011291095
0.6606602,1.8277476,1.8067607,0.04076915,-0.0024002276,0.0016808879,0.106821716,0.011291095
0.44431308,2.2988024,-2.2832766,0.04076915,-0.0024002276,0.0016808879,0.022004575,0.011291095
0.6613128,1.0938203,2.0354786,0.04076915,-0.0024002276,0.0016808879,0.07047987,0.011291095
0.7546155,1.0296193,-1.326583,0.04076915,-0.0024002276,0.0016808879,0.060975224,0.011291095
0.47140607,1.5067213,0.024771586,0.04076915,-0.0024002276,0.0016808879,0.15527776,0.011291095
0.57264704,1.2498906,1.4826175,0.04076915,-0.0024002276,0.0016808879,0.105689526,0.011291095
0.47535753,2.162214,-0.0707231,0.04076915,-0.0024002276,0.0016808879,0.07789108,0.011291095
0.3003772,1.057337,1.0649673,0.04076915,-0.0024002276,0.0016808879,0.027337313,0.011291095
0.49467936,1.5423315,2.0012796,0.04076915,-0.0024002276,0.0016808879,0.14809534,0.011291095
0.7209252,2.2662847,-2.7484417,0.04076915,-0.0024002276,0.0016808879,0.050884232,0.011291095
0.487986,0.058259163,1.2497723,0.03701301,-0.0010243417,0.0013065361,-0.22629339,-0.027245708
0.4230932,1.5065538,2.8702102,0.03701301,-0.0010243417,0.0013065361,0.1639067,-0.027245708
0.5621265,2.0243852,-0.32486913,0.03701301,-0.0010243417,0.0013065361,0.09675476,-0.027245708
0.5118468,2.7383993,-0.4216599,0.03701301,-0.0010243417,0.0013065361,-0.12883064,-0.027245708
0.32004914,2.003855,0.6609665,0.03701301,-0.0010243417,0.0013065361,0.082343966,-0.027245708
0.5677413,0.8390056,2.3523502,0.03701301,-0.0010243417,0.0013065361,0.008366287,-0.027245708
0.62553823,2.1873124,3.1039665,0.03701301,-0.0010243417,0.0013065361,0.06375161,-0.027245708
0.5412164,1.6402212,0.1540661,0.03701301,-0.0010243417,0.0013065361,0.13897014,-0.027245708
0.581359,0.83055913,0.32389292,0.03701301,-0.0010243417,0.0013065361,0.012614369,-0.027245708
0.45649755,0.6973458,-3.0898051,0.03701301,-0.0010243417,0.0013065361,-0.06729168,-0.027245708
0.43872032,0.6120518,-1.8486174,0.03701301,-0.0010243417,0.0013065361,-0.11637485,-0.027245708
0.55877036,0.8060601,0.9315446,0.03701301,-0.0010243417,0.0013065361,0.001232624,-0.027245708
0.3466298,1.8846226,-2.5194175,0.03701301,-0.0010243417,0.0013065361,0.12416938,-0.027245708
0.43320277,2.8245313,2.6979144,0.03701301,-0.0010243417,0.0013065361,-0.2526847,-0.027245708
0.43352762,1.3293935,-0.26745987,0.03701301,-0.0010243417,0.0013065361,0.14887637,-0.027245708
0.52880675,1.2609285,-1.5430443,0.03701301,-0.0010243417,0.0013065361,0.12011704,-0.027245708
0.7338722,0.97073245,-2.862773,0.03701301,-0.0010243417,0.0013065361,0.060709387,-0.027245708
0.7265947,2.2899492,2.0739732,0.03701301,-0.0010243417,0.0013065361,0.052632064,-0.027245708
0.7139558,2.202721,-2.7269258,0.03701301,-0.0010243417,0.0013065361,0.058108956,-0.027245708
0.56640565,2.5758708,1.8999857,0.03701301,-0.0010243417,0.0013065361,-0.031443,-0.027245708
0.59478086,2.3807585,-1.8221135,0.03701301,-0.0010243417,0.0013065361,0.032161295,-0.027245708
0.6664133,1.0293877,1.6486675,0.03701301,-0.0010243417,0.0013065361,0.060467064,-0.027245708
0.54665685,1.2510643,2.099324,0.03701301,-0.0010243417,0.0013065361,0.10889065,-0.027245708
0.6600358,2.3003697,0.4250553,0.03701301,-0.0010243417,0.0013065361,0.045732826,-0.027245708
0.4427833,2.1239262,-1.1212085,0.03701301,-0.0010243417,0.0013065361,0.084166646,-0.027245708
0.4563573,1.589659,1.0152365,0.03701301,-0.0010243417,0.0013065361,0.16161376,-0.027245708
0.5957723,0.8620208,-0.8062286,0.03701301,-0.0010243417,0.0013065361,0.024559438,-0.027245708
0.6089449,2.4053426,2.5726392,0.03701301,-0.0010243417,0.0013065361,0.023428887,-0.027245708
