r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.458959,0.49062055,-2.691877,0.02738584,-0.0025369334,0.004481158,-0.024302648,-0.019213397
0.38846278,2.999353,2.0999339,0.02738584,-0.0025369334,0.004481158,-0.049005084,-0.019213397
0.6856194,0.8886525,3.0348315,0.02738584,-0.0025369334,0.004481158,0.0009420393,-0.019213397
0.46077988,2.0950036,-2.175453,0.02738584,-0.0025369334,0.004481158,0.0049733184,-0.019213397
0.55338717,0.9708916,-1.1241862,0.02738584,-0.0025369334,0.004481158,5.8984384e-05,-0.019213397
0.45901713,0.7120687,-0.13806677,0.02738584,-0.0025369334,0.004481158,-0.014499803,-0.019213397
0.59745485,0.85446584,1.2676008,0.02738584,-0.0025369334,0.004481158,-0.002688907,-0.019213397
0.4675376,0.97305256,0.62711596,0.02738584,-0.0025369334,0.004481158,-0.0013474369,-0.019213397
0.38599536,1.8320136,-3.0734336,0.02738584,-0.0025369334,0.004481158,0.01425632,-0.019213397
0.68610704,1.0821164,-0.32294297,0.02738584,-0.0025369334,0.004481158,0.003504158,-0.019213397
0.54161596,1.0446873,-2.1080923,0.02738584,-0.0025369334,0.004481158,0.002522789,-0.019213397
0.28922343,1.7569418,-0.0444623,0.02738584,-0.0025369334,0.004481158,0.0151692685,-0.019213397
0.55353767,2.162207,2.1306975,0.02738584,-0.0025369334,0.004481158,0.003252141,-0.019213397
0.6325619,2.143059,-0.6644301,0.02738584,-0.0025369334,0.004481158,0.0036082207,-0.019213397
0.41420177,1.8606436,-1.2684894,0.02738584,-0.0025369334,0.004481158,0.013635796,-0.019213397
0.44136557,1.2562369,2.6145391,0.02738584,-0.0025369334,0.004481158,0.010749511,-0.019213397
0.56295973,0.7940259,2.2499628,0.02738584,-0.0025369334,0.004481158,-0.006204799,-0.019213397
0.5321685,1.4511681,1.2032192,0.02738584,-0.0025369334,0.004481158,0.013847117,-0.019213397
0.3113652,1.123722,1.5024427,0.02738584,-0.0025369334,0.004481158,0.0044737644,-0.019213397
0.47289515,2.4092567,0.9337664,0.02738584,-0.0025369334,0.004481158,-0.010061741,-0.019213397
0.4908229,0.14391834,1.0315741,0.02738584,-0.0025369334,0.004481158,-0.03376469,-0.019213397
0.5637482,1.6416066,-1.8165314,0.02738584,-0.0025369334,0.004481158,0.013213966,-0.019213397
0.6739673,1.8190043,-0.17829911,0.02738584,-0.0025369334,0.004481158,0.006946465,-0.019213397
0.51183707,2.6579726,-1.426781,0.02738584,-0.0025369334,0.004481158,-0.01918612,-0.019213397
0.4527033,1.8060621,0.7496729,0.02738584,-0.0025369334,0.004481158,0.014951702,-0.019213397
0.6091418,2.2673202,0.24763437,0.02738584,-0.0025369334,0.004481158,0.0004075847,-0.019213397
0.50415987,2.4298155,3.1105595,0.02738584,-0.0025369334,0.004481158,-0.009672953,-0.019213397
0.65870845,2.1694894,-1.7038659,0.02738584,-0.0025369334,0.004481158,0.00288853,-0.019213397
0.55076486,1.3107532,-3.0614672,0.02738584,-0.0025369334,0.004481158,0.010079187,-0.019213397
0.32692775,2.4300785,1.2779548,0.02196501,-0.00059137517,0.00037544366,-0.019614775,0.011906502
0.5181816,0.9741862,0.5379133,0.02196501,-0.00059137517,0.00037544366,0.00031172484,0.011906502
0.49035698,2.2342608,-2.7576988,0.02196501,-0.00059137517,0.00037544366,-0.0018450669,0.011906502
0.3153885,1.2351037,-1.7003888,0.02196501,-0.00059137517,0.00037544366,0.010555188,0.011906502
0.43260008,1.1290164,-0.59881157,0.02196501,-0.00059137517,0.00037544366,0.0065067583,0.011906502
0.6091012,2.305135,0.15435515,0.02196501,-0.00059137517,0.00037544366,-0.0013422779,0.011906502
0.41421416,2.6553245,-1.3489208,0.02196501,-0.00059137517,0.00037544366,-0.028646652,0.011906502
0.53047115,0.7572081,1.3466915,0.02196501,-0.00059137517,0.00037544366,-0.008339788,0.011906502
0.8196847,2.2014277,2.919663,0.02196501,-0.00059137517,0.00037544366,0.0008434411,0.011906502
0.43609557,1.2864162,1.8328532,0.02196501,-0.00059137517,0.00037544366,0.012446702,0.011906502
0.5800356,1.5569534,-1.8293154,0.02196501,-0.00059137517,0.00037544366,0.01247618,0.011906502
0.773567,0.9994299,-1.8976705,0.02196501,-0.00059137517,0.00037544366,0.0029201116,0.011906502
0.69550455,1.3358723,-0.27697316,0.02196501,-0.00059137517,0.00037544366,0.005719398,0.011906502
0.68010855,0.98404706,2.616051,0.02196501,-0.00059137517,0.00037544366,0.0025105923,0.011906502
0.50123125,0.27027658,-1.1603779,0.02196501,-0.00059137517,0.00037544366,-0.027828751,0.011906502
