r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.4970447,2.588875,2.2354317,0.08461777,0.0003050993,0.0035531425,-0.00829196,-0.007468242
0.35301247,2.2648556,-2.716133,0.08461777,0.0003050993,0.0035531425,-0.0041242763,-0.007468242
0.58036494,1.5822045,-1.8831543,0.08461777,0.0003050993,0.0035531425,0.008473969,-0.007468242
0.317567,1.6170849,2.5225782,0.08461777,0.0003050993,0.0035531425,0.0057271505,-0.007468242
0.56506145,0.8311799,1.8928884,0.08461777,0.0003050993,0.0035531425,0.0005165264,-0.007468242
0.45061654,2.2716832,0.6698348,0.08461777,0.0003050993,0.0035531425,-0.00026161596,-0.007468242
0.49852544,2.8578165,-2.3535569,0.08461777,0.0003050993,0.0035531425,-0.016270768,-0.007468242
0.40691182,0.9513994,2.6628625,0.08461777,0.0003050993,0.0035531425,-0.0009373091,-0.007468242
0.46274805,1.498163,-0.8683022,0.08461777,0.0003050993,0.0035531425,0.009962758,-0.007468242
0.4971563,1.519503,-0.092481874,0.08461777,0.0003050993,0.0035531425,0.0099975765,-0.007468242
0.49678415,0.878953,-0.6062545,0.08461777,0.0003050993,0.0035531425,0.00021595508,-0.007468242
0.7490684,2.181176,-1.9737415,0.08461777,0.0003050993,0.0035531425,0.002780052,-0.007468242
0.2381445,2.7748094,-0.9493051,0.08461777,0.0003050993,0.0035531425,-0.029690761,-0.007468242
0.4467639,2.7556372,-0.83841646,0.08461777,0.0003050993,0.0035531425,-0.015639402,-0.007468242
0.3537313,2.1952937,1.2506368,0.08461777,0.0003050993,0.0035531425,-0.001730483,-0.007468242
0.7479527,0.8968356,-2.034012,0.08461777,0.0003050993,0.0035531425,0.002057895,-0.007468242
0.42298916,0.38727048,-1.3915876,0.08461777,0.0003050993,0.0035531425,-0.018160675,-0.007468242
0.37444645,1.2675676,1.7074279,0.08461777,0.0003050993,0.0035531425,0.0055652754,-0.007468242
0.49218518,2.576037,0.06864327,0.08461777,0.0003050993,0.0035531425,-0.0081510395,-0.007468242
0.7122086,1.0719527,-0.15307572,0.08461777,0.0003050993,0.0035531425,0.0029997528,-0.007468242
0.5063093,1.0484973,-1.9171816,0.08461777,0.0003050993,0.0035531425,0.0041554347,-0.007468242
0.45375413,1.8701258,-2.048382,0.08461777,0.0003050993,0.0035531425,0.008061439,-0.007468242
0.36975017,1.3854182,0.5697599,0.08461777,0.0003050993,0.0035531425,0.0071135904,-0.007468242
0.56400096,2.3267848,-2.4319952,0.08461777,0.0003050993,0.0035531425,-0.000117586926,-0.007468242
0.5797985,0.636369,-2.478919,0.08461777,0.0003050993,0.0035531425,-0.00258068,-0.007468242
