x,y,z,u_x,u_y,u_z,F_i,F_true
-0.1690767,-0.0026361346,-0.5673227,0.06316122,0.0002946761,-0.001671235,0.006844312,-0.018553648
0.1728578,0.44399232,0.0035761595,0.06316122,0.0002946761,-0.001671235,0.007363014,-0.018553648
0.2931148,-0.021262407,-0.11918019,0.06316122,0.0002946761,-0.001671235,-0.02597252,-0.018553648
-0.1944627,-0.012946323,0.48130488,0.06316122,0.0002946761,-0.001671235,0.006702505,-0.018553648
-0.2642965,0.3765547,0.09625577,0.06316122,0.0002946761,-0.001671235,0.0014540553,-0.018553648
-0.1923016,0.18530913,0.52278316,0.06316122,0.0002946761,-0.001671235,0.0060760304,-0.018553648
-0.1447905,-0.1688773,0.09987219,0.06316122,0.0002946761,-0.001671235,-0.011317022,-0.018553648
0.09729539,-0.23576765,-0.51622206,0.06316122,0.0002946761,-0.001671235,0.008209161,-0.018553648
0.2374593,-0.22173831,0.13326924,0.06316122,0.0002946761,-0.001671235,-0.0054682046,-0.018553648
-0.4831896,-0.40347737,0.10056414,0.06316122,0.0002946761,-0.001671235,-0.0019566566,-0.018553648
0.4127416,-0.44974744,0.287948,0.06316122,0.0002946761,-0.001671235,0.0038346313,-0.018553648
0.3627592,0.4568268,0.16515756,0.06316122,0.0002946761,-0.001671235,0.0024278685,-0.018553648
-0.375642,-0.20375215,-0.21382433,0.06316122,0.0002946761,-0.001671235,-0.0050476417,-0.018553648
-0.1269829,0.52242464,0.054203182,0.06316122,0.0002946761,-0.001671235,0.00930772,-0.018553648
-0.4798148,0.13733649,0.34178957,0.06316122,0.0002946761,-0.001671235,-0.0034582838,-0.018553648
-0.4528971,-0.031056993,-0.09473605,0.06316122,0.0002946761,-0.001671235,-0.021522725,-0.018553648
-0.1723293,0.24699903,-0.18271264,0.06316122,0.0002946761,-0.001671235,-0.0003104508,-0.018553648
0.1345183,0.2928295,0.34039783,0.06316122,0.0002946761,-0.001671235,0.0064266264,-0.018553648
-0.4706641,-0.025245026,-0.45229033,0.06316122,0.0002946761,-0.001671235,-0.0005701296,-0.018553648
0.003602979,0.10148436,-0.2961999,0.06316122,0.0002946761,-0.001671235,0.005717516,-0.018553648
0.4937314,-0.08614202,-0.49793404,0.06316122,0.0002946761,-0.001671235,-0.0010085627,-0.018553648
-0.481667,-0.22244659,-0.40564275,0.06316122,0.0002946761,-0.001671235,-0.0005547162,-0.018553648
0.4478584,0.14758977,-0.42719254,0.06316122,0.0002946761,-0.001671235,-0.00019693375,-0.018553648
0.3628857,-0.31241345,-0.16891523,0.06316122,0.0002946761,-0.001671235,-0.0015298435,-0.018553648
-0.1409741,-0.5827246,0.14957042,0.06316122,0.0002946761,-0.001671235,0.008975856,-0.018553648
0.1266116,0.13002716,-0.12458044,0.06316122,0.0002946761,-0.001671235,-0.013721511,-0.018553648
0.4112123,0.46313095,-0.121217564,0.06316122,0.0002946761,-0.001671235,0.0011779666,-0.018553648
0.4484658,0.10552819,0.5654044,0.06316122,0.0002946761,-0.001671235,0.0025282986,-0.018553648
-0.4375494,0.44949356,-0.19636005,0.06316122,0.0002946761,-0.001671235,0.0005601607,-0.018553648
0.2877644,-0.30557463,0.18638842,0.06996771,-0.0020903344,0.005475561,0.00068335235,0.04492035
0.1115264,0.21473098,-0.5971675,0.06996771,-0.0020903344,0.005475561,0.009851664,0.04492035
0.4617198,-0.19936255,0.21065614,0.06996771,-0.0020903344,0.005475561,-0.007748939,0.04492035
0.3976817,-0.4738428,-0.051367775,0.06996771,-0.0020903344,0.005475561,0.0013924465,0.04492035
0.3288865,-0.111124575,0.5770494,0.06996771,-0.0020903344,0.005475561,0.0034215301,0.04492035
-0.1421205,-0.60791206,-0.12170078,0.06996771,-0.0020903344,0.005475561,0.0087067485,0.04492035
-0.207128,0.3001111,0.28668505,0.06996771,-0.0020903344,0.005475561,0.002363977,0.04492035
-0.2283014,-0.19812053,-0.07512763,0.06996771,-0.0020903344,0.005475561,-0.01188197,0.04492035
0.06439468,-0.29083133,0.48156154,0.06996771,-0.0020903344,0.005475561,0.009397589,0.04492035
-0.1807046,0.067265615,-0.46128452,0.06996771,-0.0020903344,0.005475561,0.006539412,0.04492035
-0.001418732,-0.35489416,0.21893767,0.06996771,-0.0020903344,0.005475561,0.007631831,0.04492035
-0.2976696,-0.34902725,0.2999321,0.06996771,-0.0020903344,0.005475561,0.0031598583,0.04492035
0.1439807,0.22305636,-0.17962003,0.06996771,-0.0020903344,0.005475561,0.0004402399,0.04492035
0.1259795,-0.6319324,-0.16542758,0.06996771,-0.0020903344,0.005475561,0.0067926943,0.04492035
-0.4438007,0.19996527,-0.20349994,0.06996771,-0.0020903344,0.005475561,-0.008463629,0.04492035
0.2424843,0.31878296,-0.41390812,0.06996771,-0.0020903344,0.005475561,0.006382525,0.04492035
-0.437266,0.06260716,-0.037180044,0.06996771,-0.0020903344,0.005475561,-0.025657143,0.04492035
0.05525718,0.17527993,0.46062922,0.06996771,-0.0020903344,0.005475561,0.009729553,0.04492035
-0.2573819,0.54548454,0.13747579,0.06996771,-0.0020903344,0.005475561,0.0049680285,0.04492035
0.4738839,-0.08399241,0.03571424,0.06996771,-0.0020903344,0.005475561,-0.024015304,0.04492035
-0.01398868,0.031636268,0.27929363,0.06996771,-0.0020903344,0.005475561,0.0029604882,0.04492035
-0.1884251,0.43828803,-0.16130427,0.06996771,-0.0020903344,0.005475561,0.0070130154,0.04492035
-0.2792879,-0.53459275,-0.25538135,0.06996771,-0.0020903344,0.005475561,0.00471472,0.04492035
0.02651381,0.038208053,-0.3909203,0.06996771,-0.0020903344,0.005475561,0.010115527,0.04492035
-0.09973647,-0.35467142,-0.3464993,0.06996771,-0.0020903344,0.005475561,0.007807657,0.04492035
0.1409182,-0.1933895,0.26328635,0.06996771,-0.0020903344,0.005475561,0.0019141361,0.04492035
0.2794859,-0.3418104,-0.23391439,0.06996771,-0.0020903344,0.005475561,0.0018256996,0.04492035
0.4930546,0.28486338,0.25797382,0.06996771,-0.0020903344,0.005475561,0.0005776733,0.04492035
-0.466144,0.47513163,-0.008487076,0.06996771,-0.0020903344,0.005475561,-0.0004657656,0.04492035
0.4659672,0.14629573,0.10957956,0.07222769,-0.0022709346,-0.0037968396,-0.011415772,-0.033522774
0.3110137,-0.14157152,-0.25955307,0.07222769,-0.0022709346,-0.0037968396,-0.0040298253,-0.033522774
-0.3436138,0.035771072,-0.4853421,0.07222769,-0.0022709346,-0.0037968396,0.0020947084,-0.033522774
0.4255277,-0.061953373,0.36110038,0.07222769,-0.0022709346,-0.0037968396,-0.00067239255,-0.033522774
-0.1234952,0.1513926,0.23389372,0.07222769,-0.0022709346,-0.0037968396,-0.00091745704,-0.033522774
-0.4230578,0.09038558,0.21133721,0.07222769,-0.0022709346,-0.0037968396,-0.009621441,-0.033522774
-0.2771068,0.21841069,0.43100554,0.07222769,-0.0022709346,-0.0037968396,0.0031952113,-0.033522774
0.1750162,-0.10312249,0.25976923,0.07222769,-0.0022709346,-0.0037968396,-0.001463905,-0.033522774
