r,theta,phi,u_x,u_y,u_z,F_i,F_true
0.31413344,2.3723636,3.0524268,0.1199453,0.0021061974,0.0016436991,-0.010110196,0.016768707
0.54322505,2.516654,-0.7807704,0.1199453,0.0021061974,0.0016436991,-0.0028111525,0.016768707
0.30820328,0.36470473,-0.33434835,0.1199453,0.0021061974,0.0016436991,-0.024016544,0.016768707
0.6256501,0.70494586,0.19662233,0.1199453,0.0021061974,0.0016436991,0.000930883,0.016768707
0.6891701,2.1424434,1.5373703,0.1199453,0.0021061974,0.0016436991,0.0028344989,0.016768707
0.6226613,2.264309,-0.23624873,0.1199453,0.0021061974,0.0016436991,0.0024320893,0.016768707
0.43528992,0.5972415,-0.82744926,0.1199453,0.0021061974,0.0016436991,-0.0083879195,0.016768707
0.45491543,1.7007543,-2.8549101,0.1199453,0.0021061974,0.0016436991,0.008774821,0.016768707
0.38828722,1.0658691,-0.96633065,0.1199453,0.0021061974,0.0016436991,0.002072974,0.016768707
0.49416918,2.8367574,-0.65874755,0.1199453,0.0021061974,0.0016436991,-0.011904724,0.016768707
0.6287162,1.006293,-0.6216779,0.1199453,0.0021061974,0.0016436991,0.003387195,0.016768707
0.41557845,0.937904,2.4643357,0.1199453,0.0021061974,0.0016436991,6.783474e-05,0.016768707
0.5212337,0.53329897,0.60674095,0.1199453,0.0021061974,0.0016436991,-0.005764991,0.016768707
0.74504334,2.0565987,1.2614763,0.1199453,0.0021061974,0.0016436991,0.0019933954,0.016768707
0.5496039,1.4353279,-0.102464154,0.1199453,0.0021061974,0.0016436991,0.0080614,0.016768707
0.63858473,2.4101279,-2.1228242,0.1199453,0.0021061974,0.0016436991,0.0014751367,0.016768707
0.5804077,0.7020484,-1.5701827,0.1199453,0.0021061974,0.0016436991,-0.00036424678,0.016768707
0.22872363,1.6468205,-1.6249636,0.1199453,0.0021061974,0.0016436991,-0.004188407,0.016768707
0.4205843,1.0649624,-2.3605137,0.1199453,0.0021061974,0.0016436991,0.0032812152,0.016768707
0.40930942,1.7099769,3.0041995,0.1199453,0.0021061974,0.0016436991,0.007426668,0.016768707
0.43748182,1.7748517,2.1712878,0.1199453,0.0021061974,0.0016436991,0.0075982064,0.016768707
0.49446467,1.6458133,0.13843608,0.1199453,0.0021061974,0.0016436991,0.0089653395,0.016768707
0.52466965,1.2665449,2.2788012,0.1199453,0.0021061974,0.0016436991,0.0072371867,0.016768707
0.5335665,0.47122478,-1.987771,0.1199453,0.0021061974,0.0016436991,-0.006296467,0.016768707
0.25203055,1.7641246,2.8364036,0.1199453,0.0021061974,0.0016436991,-0.0027792826,0.016768707
0.40926617,1.7434536,-1.1015917,0.1199453,0.0021061974,0.0016436991,0.0073758326,0.016768707
0.61234,0.875187,1.4161619,0.1199453,0.0021061974,0.0016436991,0.002365454,0.016768707
0.5790981,1.2798818,-2.1371493,0.1199453,0.0021061974,0.0016436991,0.006465463,0.016768707
0.53680927,1.8078835,-0.6202609,0.1199453,0.0021061974,0.0016436991,0.007653013,0.016768707
0.49188164,2.3954463,0.1356383,0.1084434,0.00016037619,0.0042450037,-0.0023670867,-0.010966884
0.4985258,2.132748,2.447184,0.1084434,0.00016037619,0.0042450037,0.0031563826,-0.010966884
0.36948052,0.6373457,-0.574269,0.1084434,0.00016037619,0.0042450037,-0.011434002,-0.010966884
0.47674865,2.2523317,-1.3028127,0.1084434,0.00016037619,0.0042450037,0.0004897788,-0.010966884
0.53642,0.6602506,3.0779474,0.1084434,0.00016037619,0.0042450037,-0.0029874053,-0.010966884
0.47442085,1.5752516,3.0772288,0.1084434,0.00016037619,0.0042450037,0.008936934,-0.010966884
0.5861942,1.8076433,0.33051473,0.1084434,0.00016037619,0.0042450037,0.0068557207,-0.010966884
0.6034109,1.561872,-2.7124188,0.1084434,0.00016037619,0.0042450037,0.0070769284,-0.010966884
0.34374702,1.6204841,1.9797916,0.1084434,0.00016037619,0.0042450037,0.0045183115,-0.010966884
0.72463834,2.2970562,-1.6297636,0.1084434,0.00016037619,0.0042450037,0.0027750954,-0.010966884
0.78569496,1.0229955,-2.8308291,0.1084434,0.00016037619,0.0042450037,0.0012976024,-0.010966884
0.66795856,0.7640322,0.3486436,0.1084434,0.00016037619,0.0042450037,0.0019729454,-0.010966884
0.5317011,2.3419027,-3.014688,0.1084434,0.00016037619,0.0042450037,7.7392906e-05,-0.010966884
0.40319052,3.0691972,2.9823897,0.1084434,0.00016037619,0.0042450037,-0.024417982,-0.010966884
0.6568804,1.1986936,-1.3549265,0.1084434,0.00016037619,0.0042450037,0.004043022,-0.010966884
0.4188679,1.3886966,0.22701037,0.1084434,0.00016037619,0.0042450037,0.0074127056,-0.010966884
0.3490596,0.94620967,-2.8526866,0.1084434,0.00016037619,0.0042450037,-0.0031242827,-0.010966884
0.53516835,0.47810718,0.53272843,0.1084434,0.00016037619,0.0042450037,-0.0068684127,-0.010966884
0.6127079,1.2712417,1.6327981,0.1084434,0.00016037619,0.0042450037,0.0057190037,-0.010966884
0.6507551,0.839084,-1.3889583,0.1084434,0.00016037619,0.0042450037,0.0020637903,-0.010966884
0.195268,0.8377415,1.0846871,0.1084434,0.00016037619,0.0042450037,-0.018260254,-0.010966884
0.18530425,1.8320065,2.482246,0.1084434,0.00016037619,0.0042450037,-0.01149958,-0.010966884
0.5148567,2.0666187,-2.2145305,0.1084434,0.00016037619,0.0042450037,0.0048027225,-0.010966884
0.39999455,1.0741767,-1.2285956,0.1084434,0.00016037619,0.0042450037,0.0021971418,-0.010966884
0.6574017,0.9870812,-3.0334048,0.1084434,0.00016037619,0.0042450037,0.002861457,-0.010966884
0.32368547,1.8519765,-0.82354546,0.1084434,0.00016037619,0.0042450037,0.0013864599,-0.010966884
0.592787,0.7897501,2.5205004,0.1084434,0.00016037619,0.0042450037,0.0008944981,-0.010966884
0.6087349,2.2041416,0.84483135,0.1084434,0.00016037619,0.0042450037,0.0029294342,-0.010966884
0.40313742,1.3637122,2.63454,0.1084434,0.00016037619,0.0042450037,0.0066403113,-0.010966884
0.32914943,1.5434123,-1.240707,0.1190337,0.004101845,0.006004988,0.004402157,0.030962808
0.65495294,2.2086937,3.0511158,0.1190337,0.004101845,0.006004988,0.0027632266,0.030962808
0.6092745,1.7852706,-2.6880195,0.1190337,0.004101845,0.006004988,0.006200731,0.030962808
0.712147,1.0341557,0.32309377,0.1190337,0.004101845,0.006004988,0.002485875,0.030962808
0.49605304,0.59848356,2.3617945,0.1190337,0.004101845,0.006004988,-0.0056222863,0.030962808
0.3172997,2.71536,-2.759773,0.1190337,0.004101845,0.006004988,-0.020224318,0.030962808
0.41478115,2.0483367,0.03436186,0.1190337,0.004101845,0.006004988,0.003073588,0.030962808
0.43243062,1.9309118,1.3066503,0.1190337,0.004101845,0.006004988,0.00558161,0.030962808
0.5544873,1.5418457,-2.9544647,0.1190337,0.004101845,0.006004988,0.008333575,0.030962808
0.3603941,1.1595069,-0.5746531,0.1190337,0.004101845,0.006004988,0.0025605261,0.030962808
0.6699873,1.0812299,1.9715527,0.1190337,0.004101845,0.006004988,0.0032990286,0.030962808
0.7203387,2.2531102,-2.8558736,0.1190337,0.004101845,0.006004988,0.0028367043,0.030962808
0.5681538,2.3982575,-1.9428308,0.1190337,0.004101845,0.006004988,3.7826598e-05,0.030962808
0.5808015,0.72236717,-3.0463624,0.1190337,0.004101845,0.006004988,-0.00014085975,0.030962808
0.6524994,1.0009762,3.1126063,0.1190337,0.004101845,0.006004988,0.0032759765,0.030962808
0.3419098,1.3991951,-3.1083393,0.1190337,0.004101845,0.006004988,0.0048231743,0.030962808
0.17501844,1.7616471,-1.378022,0.1190337,0.004101845,0.006004988,-0.011093613,0.030962808
0.56804544,1.4414424,0.09816238,0.1190337,0.004101845,0.006004988,0.0076581854,0.030962808
0.5113685,1.4363991,0.8521859,0.1190337,0.004101845,0.006004988,0.008669734,0.030962808
0.4853488,2.1929166,-0.40524653,0.1190337,0.004101845,0.006004988,0.0020255037,0.030962808
0.22592388,1.8832092,2.4592986,0.1190337,0.004101845,0.006004988,-0.006785821,0.030962808
0.5867955,2.4390116,-1.0728341,0.1190337,0.004101845,0.006004988,-0.00012402236,0.030962808
0.6594876,2.3344975,2.2013478,0.1190337,0.004101845,0.006004988,0.00213895,0.030962808
0.47574288,2.0300424,2.8712566,0.1190337,0.004101845,0.006004988,0.0047028176,0.030962808
0.59511805,0.5799853,-0.52041966,0.1190337,0.004101845,0.006004988,-0.0015782006,0.030962808
0.54770434,2.3189106,0.29011118,0.1190337,0.004101845,0.006004988,0.00079121813,0.030962808
0.5477783,2.1194422,-1.2060853,0.1190337,0.004101845,0.006004988,0.004054155,0.030962808
0.61020917,2.3742046,0.66528934,0.1190337,0.004101845,0.006004988,0.0011461601,0.030962808
0.54497397,2.0147173,-3.0901592,0.1190337,0.004101845,0.006004988,0.0055998713,0.030962808
0.4829173,1.2168807,-0.1811093,0.1114475,-0.001373568,0.0026826763,0.006717978,-0.019613484
0.58928853,1.01353,-2.4794374,0.1114475,-0.001373568,0.0026826763,0.0037553879,-0.019613484
0.37455544,2.6247754,1.2714579,0.1114475,-0.001373568,0.0026826763,-0.014086079,-0.019613484
0.43715742,2.865812,-2.7537532,0.1114475,-0.001373568,0.0026826763,-0.016945943,-0.019613484
0.4895239,1.8013984,-2.712355,0.1114475,-0.001373568,0.0026826763,0.008215051,-0.019613484
0.5097011,2.07421,-1.1040939,0.1114475,-0.001373568,0.0026826763,0.004567895,-0.019613484
0.5067772,1.0397003,0.9516031,0.1114475,-0.001373568,0.0026826763,0.004035314,-0.019613484
0.62773806,2.2196612,-1.5424426,0.1114475,-0.001373568,0.0026826763,0.002918426,-0.019613484
0.5550956,0.6293644,-2.1791167,0.1114475,-0.001373568,0.0026826763,-0.0027192086,-0.019613484
