Complexity,Loss,Equation
1,5.8387443e-5,"7.583237e-5"
3,5.659754e-5,"(-0.000566615 / r)"
5,5.1838993e-5,"(-0.0013502729 / sin(theta))"
7,5.0798622e-5,"((log_abs(r) * 0.0018606568) / theta)"
9,3.8516064e-5,"((log_abs(sin(theta)) * 0.0009414846) / u_x)"
11,1.5553578e-5,"(((log_abs(r) + sin(theta)) / 0.30543518) * 0.0055069956)"
13,1.5043397e-5,"((((log_abs(r) + sin(theta)) / 282.12988) * 5.1537647) + -0.0007194518)"
15,5.5913833e-6,"(((log_abs(r) + ((sin(theta) + -0.49170122) / 0.39942163)) * 0.0015165773) / 0.11822884)"
