Complexity,Loss,Equation
1,7.324593e-5,"-4.574028e-5"
3,6.810249e-5,"(-0.001959296 / theta)"
5,6.0073366e-5,"((-0.0051943157 / r) + 0.011175109)"
7,1.4843153e-5,"((sin(theta) + -0.7938403) * 0.04022051)"
9,1.0853443e-5,"(((sin(theta) + -1.2962749) + r) / 29.925934)"
11,3.899851e-6,"(((sin(theta) + (-0.12001659 / r)) + -0.534601) * 0.03948158)"
13,3.5197886e-6,"((sin(sin(theta) + (-0.11439427 / r)) + -0.50989103) * 0.044490244)"
15,1.6346874e-6,"((((sin(theta) + (-0.11439427 / r)) + -0.5347066) * 0.06266326) / exp(r))"
16,1.6266581e-6,"((((sin(theta) + (-0.11414689 / r)) + -0.5347066) * 0.06233748) * inv(exp(r)))"
17,8.341391e-7,"((((sin(theta) + (-0.11365497 / r)) + -0.5275698) * 0.056223735) * cos(r / 0.5794284))"
18,8.290958e-7,"((((sin(theta) + (-0.11439427 / r)) + -0.52634776) * 0.056223735) * cos(inv(0.58016354 / r)))"
19,8.0891755e-7,"((((sin(theta) + (-0.11439427 / r)) + -0.52634776) * 0.05545616) * cos((r + r) + 12.406475))"
