Complexity,Loss,Equation
1,0.0034665482,"0.04556397"
3,0.0033701826,"(r * 0.084549844)"
5,0.0022831538,"(sin(theta) * 0.069904774)"
7,0.00033471355,"((sin(theta) + -0.6442059) * 0.30145675)"
9,0.0003137391,"((sin(theta) + -0.6442059) / (r + 2.7478826))"
10,0.00031373708,"((sin(theta) + -0.644211) / (inv(0.36391658) + r))"
11,0.00030500992,"((sin(theta) + -0.644203) / (exp(r) + 1.6519167))"
12,0.00029893435,"((sin(theta) + -0.644203) / (cos(inv(r)) + 3.8330421))"
13,0.00021049203,"(((sin(log_abs(sin(theta))) / r) + 0.92435616) * 0.10332763)"
15,0.0001267718,"(((sin(log_abs(sin(theta) + 0.06978835)) / r) + 0.75434345) * 0.10721507)"
16,0.00012677179,"(((sin(log_abs(sin(theta) + 0.069754325)) * inv(r)) + 0.7543235) * 0.10722905)"
17,0.000109042594,"(((sin(log_abs(sin(theta) + 0.030082371)) / r) + cos(r)) * 0.10680361)"
19,0.00010709246,"((((sin(log_abs(sin(theta) + 0.031135906)) / r) + cos(r)) + -0.014511751) * 0.10807995)"
20,0.000105077175,"(((sin(log_abs(sin(theta) + 0.037234537)) * inv(r / 1.0377387)) + cos(r)) * 0.10484203)"
