Complexity,Loss,Equation
1,0.00011462346,"-5.9167996e-5"
3,0.00010511312,"(-0.0021762005 / theta)"
5,0.00010029263,"(-0.0015971999 / sin(theta))"
6,9.985296e-5,"((inv(theta) + -0.84567267) * -0.0034185871)"
7,1.6032829e-5,"((sin(theta) * 0.052365147) + -0.041599307)"
9,1.0825479e-5,"(((sin(theta) * 0.02222786) + -0.017932512) / r)"
11,4.0459645e-6,"((((sin(theta) * 0.021869699) + -0.02180105) / r) + 0.009331668)"
13,3.6328263e-6,"((((exp(sin(theta)) + r) * 0.0109705925) + -0.029914334) / r)"
15,2.4196365e-6,"((((exp(sin(theta)) + r) * -0.03161748) + 0.085903056) * log_abs(r))"
17,1.9860236e-6,"((((exp(sin(theta)) + r) * -0.037263744) + 0.101610824) * sin(log_abs(r)))"
19,1.6674234e-6,"((((exp(sin(theta)) + r) * -0.040440362) + 0.109831326) * sin(log_abs(r * 1.1005177)))"
20,1.6171514e-6,"((((exp(sin(theta)) + r) * -0.040440362) + 0.109831326) / inv(sin(log_abs(tan(r)))))"
