Complexity,Loss,Equation
1,0.0011685875,"u_z"
3,0.0011585181,"(F_i * 0.0025160953)"
5,0.0002661871,"((F_i * 0.21119592) + -0.2794636)"
7,0.00025897162,"(((F_i * 0.21382973) + -0.3064845) + u_x)"
9,0.0002546041,"(((exp(F_i) * 0.055378962) + -0.2336501) + u_x)"
11,0.00025335813,"((((F_i * 0.23256093) + -0.3333972) * sin(F_i)) + u_x)"
13,0.00025330257,"((((F_i * 0.23256093) + -0.3333972) * sin(F_i + u_z)) + u_x)"
14,0.0002532004,"((((F_i * 0.23256093) + -0.3333972) / inv(sin(F_i) + u_z)) + u_x)"
16,0.00025184214,"((((F_i * 0.23256093) + -0.3333972) / inv(sin(F_i) + (u_z / 0.049667913))) + u_x)"
17,0.00024980694,"((((exp(F_i) + (0.055348493 * sin(1.5255687 / u_z))) * 0.055378664) + -0.23355317) + u_x)"
18,0.00024868795,"((((exp(F_i) + ((u_x / tan(inv(u_x))) * 0.15193844)) * 0.055371568) + -0.23366006) + u_x)"
20,0.00024435154,"((((exp(F_i) + ((u_x / (tan(inv(u_x)) + 0.055348493)) * 0.06359155)) * 0.055371568) + -0.23362286) + u_x)"
