Complexity,Loss,Equation
1,0.0012012079,"u_y"
3,0.0010917644,"(F_i * 0.011419488)"
5,0.00021752765,"((F_i * 0.102743275) + -0.08933021)"
7,0.00019546604,"((F_i * 0.11114153) + (u_x + -0.17184663))"
9,0.00018403592,"((((u_x * F_i) * F_i) * 0.851475) + -0.053301625)"
10,0.00018024816,"((F_i / ((inv(u_x) / F_i) + F_i)) + -0.0577694)"
11,0.00017645503,"((((u_x * (F_i + 0.71852833)) * 0.6077605) * F_i) + -0.06626144)"
13,0.00017635313,"(((sin(u_x * (F_i + 0.7121308)) * 0.61037415) * F_i) + -0.06613466)"
14,0.00017601241,"((((u_x * (F_i + inv(F_i + 1.2430099))) * 0.73385954) * F_i) + -0.06771409)"
15,0.00017488073,"((((u_x * (F_i + ((u_x * -6.3182874) + 1.3536541))) * 0.5673416) * F_i) + -0.06778118)"
17,0.00017396621,"((((u_x * (F_i + (((F_i * -3.604509) * u_x) + 0.75074893))) * 0.7368122) * F_i) + -0.06950982)"
19,0.00017219751,"((((u_x * (F_i + ((u_y / tan(F_i / -0.22407314)) + 0.7121299))) * 0.61037415) * F_i) + -0.06619016)"
