Complexity,Loss,Equation
1,0.0060524414,"0.029807046"
3,0.0056618387,"(r * 0.06873538)"
5,0.0049146963,"(sin(theta) * 0.05524487)"
7,0.0012935379,"((sin(theta) + -0.7107532) / 2.7430568)"
9,0.0012775755,"((sin(theta) + (-0.29864204 / r)) * 0.23301603)"
11,0.00088745763,"(((sin(theta) + (-0.25836012 / r)) / r) * 0.10167905)"
13,0.00033465767,"(((sin(theta) + sin(-0.32686308 / r)) * 0.12873648) / r)"
15,0.00018226888,"((((sin(theta) + sin(-0.24949947 / r)) / r) + -0.31922334) * 0.14329816)"
17,0.00012514314,"((((sin(theta) + sin(-0.25318187 / r)) / (r + 0.10079138)) + -0.26798785) * 0.18200333)"
18,0.000118655924,"((((sin(theta) + sin(-0.24824159 / r)) * inv(r + 0.10079138)) + -0.28502992) * 0.18200333)"
19,0.00011630343,"((((sin(theta) + sin(-0.24969848 / sin(r))) / (r + 0.094748996)) + -0.25549543) * 0.18200333)"
