Instance,RandomSeed,Nparticles,Nstokeslets,Phi,Radius,mu,uinf,LSres,u_avg,v_avg,w_avg,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,fx0,fy0,fz0
0,1668014528,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,8.957919e-05,2.113850e-02,5.988919e-04,-6.704598e-04,0.000000e+00,0.000000e+00,0.000000e+00,-4.590301e-01,-1.013997e-01,5.580788e-02,-3.170426e-01,-4.325284e-01,-4.608323e-01,-8.761914e-02,-3.703696e-01,-2.442712e-01,-3.436962e-01,3.505101e-01,1.364347e-01,3.375830e-01,1.122276e-01,-1.467995e-02,2.342638e-01,-1.135692e-01,4.319760e-01,4.953909e-01,-1.984661e-01,-2.667998e-01,1.323773e-01,-2.208493e-01,-4.670405e-01,-2.522728e-01,1.843793e-01,-1.472118e-01,-3.407840e-01,4.955205e-02,3.261031e-01,-3.406512e-01,-3.926564e-01,3.536610e-02,-1.916161e-02,1.092950e-02,-2.938243e-01,-7.304365e-02,1.301207e-01,4.788721e-01,-3.594326e-01,3.624606e-01,-4.995761e-01,1.667318e-01,4.029909e-01,3.986901e-01,2.018253e-01,-3.239605e-01,1.742770e-01,-4.904470e-01,2.431325e-02,-2.188853e-01,9.309918e-02,-3.883376e-01,4.847830e-01,2.107255e-01,3.977444e-01,-4.000604e-01,1.607412e-01,4.850711e-01,9.320031e-02,3.239949e-01,-4.961371e-01,-2.662175e-01,-1.717828e-01,4.298730e-01,-2.926356e-01,4.746977e-01,3.048659e-01,-2.625678e-01,4.717870e-01,-1.820383e-01,1.705411e-01,-3.086093e-01,-2.969049e-01,3.387949e-01,-3.066959e-01,3.171125e-01,4.529878e-01,4.948781e-01,-3.012298e-01,4.884904e-01,1.369266e-01,1.587571e-01,1.976332e-01,4.931555e-01,3.425829e-01,1.261571e-01,9.891805e-02,-6.632990e-03,-1.129593e-02
1,40969944,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,8.855064e-05,2.589434e-02,3.463779e-04,5.089505e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.919279e-01,1.128990e-01,-5.917890e-02,-3.949502e-01,-7.039767e-02,-4.236102e-02,3.232479e-01,-1.478193e-01,2.360235e-01,2.573012e-01,2.815746e-01,3.977740e-01,5.394551e-02,1.471856e-02,3.073783e-01,-1.797906e-01,-2.868534e-01,9.739062e-02,9.339145e-03,-4.325713e-01,-4.222306e-01,4.457816e-01,-4.642053e-01,-2.382918e-01,4.817315e-01,3.812035e-01,-1.736622e-01,-1.850039e-01,4.465665e-01,-6.688791e-02,-3.220754e-01,-1.414275e-01,4.023972e-01,-8.079079e-02,1.950878e-01,-4.465342e-01,4.514446e-01,-1.697638e-01,-3.885960e-01,-4.001765e-01,-4.551926e-01,2.652136e-01,-4.013649e-01,3.684402e-01,2.574732e-01,-1.891358e-01,4.936648e-02,-2.094077e-01,7.445020e-02,-4.772793e-01,3.043168e-01,4.288028e-01,-4.586781e-01,2.872296e-01,2.462049e-02,-2.399335e-01,-2.014337e-01,-2.623137e-01,-4.677497e-01,-1.988152e-01,-3.204179e-01,4.496508e-01,-3.843499e-01,2.772902e-01,1.379222e-01,-3.118512e-01,1.241369e-01,4.882292e-01,2.101561e-01,-3.748868e-01,1.488582e-01,-4.422979e-01,-4.605649e-01,-3.489207e-01,-4.850173e-01,4.823133e-01,4.684056e-01,9.316018e-02,2.129394e-01,3.745679e-01,-3.715952e-02,2.340363e-01,-3.731723e-01,4.522838e-02,-1.322047e-01,2.547730e-01,2.358072e-01,1.798167e-01,-5.614115e-03,-1.306283e-02
2,991927911,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,6.426133e-05,2.051402e-02,1.508718e-03,-7.763500e-04,0.000000e+00,0.000000e+00,0.000000e+00,-4.005376e-01,-4.423589e-01,-1.627858e-01,1.344689e-01,3.410516e-01,-2.827240e-01,2.688212e-01,-4.884980e-03,-4.261679e-01,4.903939e-01,-1.748760e-01,4.234220e-02,-3.404152e-01,-2.685431e-01,1.016351e-01,-6.329757e-02,4.140912e-01,4.715409e-01,-3.603836e-01,-9.501385e-02,-1.429130e-01,-1.559934e-01,3.482255e-01,-2.827294e-01,-1.044975e-01,4.557743e-02,-4.042891e-01,-4.834722e-01,1.182021e-01,-3.408336e-01,-2.823501e-01,1.664131e-02,3.788151e-01,-4.442689e-01,-3.660582e-01,4.700224e-01,1.675028e-01,-1.611131e-01,4.263808e-01,5.285109e-03,-3.510517e-01,-3.112874e-02,4.733431e-01,3.293793e-01,-4.577835e-01,3.052857e-01,-3.580180e-01,1.965266e-01,3.908372e-01,5.652677e-02,4.114815e-01,4.898196e-01,-3.428178e-01,-3.513743e-01,1.592281e-01,3.164890e-01,3.279851e-01,-3.171027e-01,-4.572844e-01,-4.527316e-01,5.338544e-02,-4.385928e-01,-4.736441e-01,1.470912e-01,-4.534377e-01,4.401829e-01,2.881403e-01,2.277761e-01,-4.733824e-02,4.927521e-01,4.992942e-01,2.227386e-01,-2.601093e-01,4.784122e-01,2.752514e-01,-3.411782e-01,1.835242e-01,-4.127205e-02,-1.851056e-01,4.624425e-01,-4.046612e-03,4.020087e-01,-4.589034e-01,-6.989207e-02,-1.395280e-01,-4.438022e-01,2.218751e-01,1.308789e-01,-5.958524e-03,-2.803292e-02
3,99462432,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,6.424020e-05,2.195487e-02,-1.417088e-03,-8.351199e-06,0.000000e+00,0.000000e+00,0.000000e+00,8.192214e-02,3.875860e-01,1.465411e-01,-4.048129e-01,-3.617490e-01,3.414216e-01,-1.484620e-01,1.491952e-01,-3.654504e-01,-4.898689e-01,5.080105e-02,-2.847185e-02,8.616507e-02,2.982878e-01,4.823440e-01,-3.816132e-01,3.510310e-01,-9.428994e-02,-2.244814e-01,-3.397742e-01,-1.709865e-01,4.437174e-01,1.762947e-02,1.932279e-01,-2.018077e-01,1.057075e-01,3.206077e-01,1.738195e-02,-6.524359e-02,2.822689e-01,3.553174e-01,3.692303e-01,3.461930e-01,-3.192768e-01,3.534602e-01,-4.725600e-01,3.614805e-01,-1.200374e-01,-3.110870e-01,4.323806e-01,-4.798577e-01,-5.648526e-03,3.948446e-01,4.586329e-01,-3.441283e-01,1.344730e-01,-3.584989e-01,-4.065911e-01,-2.785288e-01,3.744852e-01,2.119506e-01,3.466518e-01,-1.412434e-01,-2.413485e-02,3.476143e-01,-7.447888e-02,4.487806e-01,-4.778090e-01,2.885753e-01,4.607117e-01,-4.549151e-01,-3.213728e-02,-3.173155e-01,-2.773034e-01,-1.880413e-01,1.379860e-01,2.678720e-01,-4.002906e-01,2.778456e-01,4.150878e-01,2.690591e-01,-3.399715e-02,-1.083685e-01,-4.682740e-01,3.005961e-01,4.973632e-01,-4.387901e-01,-4.386406e-01,-2.500685e-01,-4.125692e-01,-4.668558e-01,1.666334e-01,3.585145e-01,-1.663858e-01,3.592257e-02,-3.839162e-01,2.170122e-02,9.468497e-02,6.686005e-03,-9.789443e-03
4,581922142,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,9.124211e-05,2.155867e-02,-1.833651e-03,-9.492923e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.880525e-01,4.353501e-01,1.019914e-01,2.665246e-01,-1.795086e-01,-1.564661e-01,2.810278e-01,4.864494e-01,3.977288e-01,-3.666958e-01,-4.273974e-01,-4.861108e-01,-4.461633e-01,3.049962e-01,2.287408e-01,-3.806026e-01,4.614780e-01,-4.172630e-01,-3.813574e-01,-4.587390e-01,3.854234e-01,-2.413436e-01,1.870403e-01,-3.374993e-01,-4.751097e-01,-1.530267e-02,2.237634e-01,2.342360e-01,-4.998626e-01,-3.540404e-01,1.670797e-01,9.808339e-03,-4.698440e-01,-1.638069e-01,3.008105e-01,1.601976e-01,1.975130e-01,3.539905e-02,4.032383e-01,2.053874e-02,2.484039e-01,-1.736865e-01,-5.236116e-02,1.910991e-01,4.674826e-01,-3.861732e-01,-1.295222e-01,-4.659192e-01,-4.401518e-01,-2.717756e-01,-2.697164e-02,-1.014943e-01,-4.271499e-01,1.089534e-01,3.574345e-01,-2.875008e-01,4.291245e-01,2.163707e-01,-4.340576e-01,1.560370e-01,-1.829331e-02,-3.699660e-01,-3.165097e-01,4.428623e-01,9.570816e-02,2.351191e-01,2.414892e-01,2.989556e-01,-4.285656e-01,-4.963417e-01,1.606383e-01,-3.764785e-02,-1.014135e-01,-2.716457e-01,3.462951e-01,-2.024836e-01,4.811848e-01,-8.548641e-02,4.258312e-01,-2.186412e-01,1.177248e-01,-2.561292e-02,4.805921e-01,-4.588739e-01,4.982775e-01,-2.121138e-01,-3.888413e-01,1.596401e-01,3.268137e-02,-2.356832e-02
5,888052456,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,8.402017e-05,2.601601e-02,-8.450908e-04,-4.623164e-04,0.000000e+00,0.000000e+00,0.000000e+00,-4.282260e-01,4.956692e-01,3.529299e-02,-1.013918e-01,-3.106220e-01,4.392724e-01,4.760762e-01,3.707203e-01,-6.204412e-03,-2.553681e-01,-3.331646e-01,1.539797e-01,-1.793256e-01,1.796456e-01,-2.742937e-01,1.156163e-01,-3.735837e-01,2.480702e-01,8.427819e-02,1.819967e-01,4.318404e-01,1.998743e-01,4.420490e-01,-2.415019e-01,-1.836853e-01,-2.661875e-01,-1.736641e-01,6.814367e-02,4.096484e-02,-3.135332e-01,-2.830902e-01,3.867454e-02,1.815766e-01,-3.829384e-01,4.127575e-01,3.086916e-01,-3.491787e-01,-4.931358e-02,-3.290127e-01,-4.471762e-01,2.513106e-01,-3.804691e-01,-4.044757e-01,7.505657e-02,-7.905871e-02,3.622430e-01,-3.868387e-01,-1.021648e-01,3.798531e-01,-4.723849e-01,-4.532837e-01,1.946152e-01,3.948555e-01,2.306844e-01,3.728049e-01,1.031827e-01,-2.827669e-01,3.581610e-02,-2.853634e-01,-3.942560e-01,3.449407e-01,9.828515e-02,2.009607e-01,-1.815524e-01,1.068791e-01,4.805059e-01,-1.187368e-02,3.275141e-01,-4.035094e-02,4.914695e-01,-3.406159e-01,4.109516e-01,-4.994843e-01,-3.608532e-01,3.318065e-01,-1.984858e-01,-4.648487e-01,-4.460667e-01,4.977336e-01,4.394454e-01,-2.931675e-01,-7.271163e-02,4.825001e-01,1.926494e-01,4.788777e-01,3.181509e-01,4.026320e-01,1.503702e-01,-1.487581e-02,-1.217818e-03
6,71773984,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,9.817524e-05,2.429444e-02,-1.589118e-03,2.691333e-03,0.000000e+00,0.000000e+00,0.000000e+00,-3.598450e-01,-4.292061e-02,-4.127711e-01,8.868304e-02,3.182589e-01,3.761512e-01,-1.851422e-01,1.690287e-01,-1.817634e-01,9.090178e-02,-4.031180e-01,4.670801e-01,-4.693303e-01,-4.131086e-01,4.139559e-01,4.608839e-01,-3.562068e-01,7.758929e-02,-4.932199e-01,1.889586e-01,3.510919e-01,2.518731e-01,-4.696370e-01,-3.219492e-01,-3.004568e-01,4.629279e-01,-3.739857e-01,-4.153497e-01,-3.094421e-01,-1.333267e-01,2.047688e-01,2.473174e-01,-1.410718e-01,3.545902e-01,4.899158e-02,4.037644e-02,1.066088e-01,-2.795345e-01,2.057631e-01,-2.676481e-01,2.413586e-01,1.676604e-01,-9.572128e-02,-1.593856e-01,4.298488e-01,4.684694e-01,2.947460e-01,-3.175786e-02,4.489941e-01,6.160101e-02,4.570203e-01,-1.826601e-02,-4.097460e-01,-5.379418e-02,-4.087429e-01,3.939784e-01,-5.861291e-02,2.342206e-03,1.681999e-01,-4.823732e-01,3.854705e-01,3.915327e-01,4.698285e-01,-4.685521e-01,4.936972e-01,2.705287e-01,1.628533e-01,4.114778e-01,-4.242255e-01,-2.380432e-01,-3.363185e-01,-3.674336e-01,4.263268e-01,-4.594724e-01,3.630981e-01,-2.434876e-01,1.220207e-01,4.955030e-01,1.864044e-01,-1.430799e-01,-1.942482e-01,-3.052759e-01,-9.112520e-02,2.005037e-01,-4.284974e-01,2.706873e-03,-9.502660e-02,6.967892e-02,1.275678e-02,-1.194402e-02
7,140155046,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,9.424169e-05,2.196966e-02,-8.562995e-04,-3.846363e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.987598e-01,1.771343e-01,3.831304e-01,-5.455708e-02,-1.042017e-01,-2.960983e-01,1.575146e-01,3.784522e-01,-4.875989e-01,5.133547e-02,2.954886e-01,-2.334591e-01,-2.400754e-01,-4.601533e-01,-4.884210e-01,-4.754980e-01,-3.741091e-01,2.527488e-01,-3.266903e-01,3.547818e-02,-4.180991e-01,3.784541e-01,-1.643799e-01,1.369016e-01,-4.840148e-01,-4.732282e-01,-2.940800e-01,3.274897e-01,4.195630e-01,2.273046e-01,-1.857632e-01,3.375256e-01,4.678255e-01,8.003649e-02,-4.732141e-02,4.189460e-01,-4.746166e-01,3.611268e-01,-2.313616e-01,1.217428e-01,-4.925276e-01,-4.058056e-01,-2.367471e-01,6.849011e-02,2.708405e-01,4.516418e-01,3.018190e-01,-3.698446e-01,-1.592903e-01,-3.277900e-01,4.790836e-01,-3.007485e-01,-1.556536e-01,-1.438622e-02,-3.545969e-01,4.284554e-01,2.459734e-01,3.439083e-01,-8.314750e-02,-4.151541e-01,-5.594973e-02,-2.909229e-01,4.822297e-02,6.606883e-02,4.700421e-01,1.057824e-01,-2.590078e-01,4.195455e-01,-4.960239e-01,-4.810697e-01,8.200606e-02,-1.087411e-02,4.031265e-01,-2.738690e-01,-2.036036e-01,2.851947e-01,1.255175e-01,-1.152153e-01,-4.781343e-01,4.603270e-02,4.726946e-01,4.170540e-01,-3.366769e-01,4.140720e-01,-2.820501e-01,2.970939e-01,-3.699717e-02,9.241565e-02,2.236903e-02,3.092581e-02
8,798759790,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,8.531052e-05,2.517700e-02,-3.305494e-04,-1.415837e-03,0.000000e+00,0.000000e+00,0.000000e+00,-1.279313e-01,-4.948254e-01,5.992775e-02,3.097298e-01,4.630920e-01,-1.161563e-01,-2.585675e-01,2.478992e-01,-6.365535e-03,-3.050029e-02,2.389237e-01,-3.496961e-01,2.638783e-01,-4.572012e-01,1.086985e-01,3.872724e-01,2.669262e-01,1.694634e-01,-2.841562e-01,-4.734361e-01,-2.393320e-01,-5.658785e-02,1.604446e-01,2.973603e-01,-3.338327e-01,-1.086175e-01,1.086447e-01,-5.244998e-02,-4.783208e-01,-4.304366e-01,4.855858e-01,3.036934e-01,-3.037014e-01,4.799504e-01,-1.729546e-02,1.180827e-01,-4.591982e-01,6.296303e-02,-4.648666e-01,1.949363e-01,-3.641498e-01,-2.009904e-01,-2.169889e-01,-3.954468e-01,3.164377e-01,-3.598585e-01,1.694644e-01,4.954074e-01,1.196863e-01,-4.765861e-01,4.267642e-01,1.130492e-01,-1.626858e-01,-4.684618e-01,-9.184154e-02,4.642860e-01,4.055004e-01,-3.348849e-01,-2.085192e-01,-4.786262e-01,3.170795e-01,3.945780e-01,4.276991e-01,-4.928145e-01,-4.077131e-01,3.916590e-02,-9.623404e-02,-2.511433e-01,-1.540431e-01,4.474430e-01,-2.472064e-01,-4.223188e-01,-3.926562e-01,4.724286e-01,4.014421e-01,7.473057e-02,-1.206918e-01,3.142689e-01,2.280936e-01,4.975479e-01,1.703219e-01,-3.018386e-01,4.486111e-01,-3.647057e-01,4.053652e-02,3.339850e-01,2.465259e-02,2.008597e-01,-2.333206e-02,-9.755159e-03
9,372068685,30,300,3.430000e-01,1.397531e-01,1.000000e+00,1.000000e+00,8.374294e-05,1.880837e-02,-4.616995e-04,6.507277e-04,0.000000e+00,0.000000e+00,0.000000e+00,-4.490023e-01,-2.554179e-01,-4.039793e-03,4.267697e-01,2.244459e-01,1.454536e-01,-3.398900e-01,4.487117e-01,1.367689e-01,-3.375126e-01,2.752321e-01,-4.526206e-01,-2.386550e-02,-8.194679e-02,4.261783e-01,-3.499799e-01,-1.748315e-01,4.363802e-01,2.545974e-01,1.516385e-01,-2.956746e-01,2.633777e-01,-3.617849e-01,3.773294e-01,1.563312e-01,3.963529e-01,2.442489e-01,-3.025508e-01,-3.239500e-01,-4.381790e-01,-3.671754e-01,3.569399e-01,4.902910e-01,1.235173e-01,-2.856596e-01,-8.047681e-02,-4.394263e-02,-4.492057e-01,-3.181481e-01,4.698946e-01,-4.479868e-02,2.895488e-01,2.592828e-01,-2.937622e-01,-4.903215e-01,-4.135685e-02,3.373089e-01,-4.529792e-01,-1.608653e-01,-3.942137e-01,-1.363685e-02,4.268208e-01,4.623704e-01,-2.954308e-01,-3.022136e-01,1.754835e-01,1.928270e-01,-1.632844e-01,2.769451e-03,-2.979634e-01,-2.261782e-01,-4.773369e-01,4.731358e-01,-3.757401e-01,-4.633675e-01,2.167996e-01,4.435394e-01,3.989915e-01,4.856753e-01,1.962016e-01,4.801677e-01,-9.061679e-02,-5.739217e-02,1.976532e-01,4.293899e-01,4.666199e-01,-4.901414e-01,-2.927477e-04,-3.929945e-01,7.939793e-02,-1.380288e-01,-3.239725e-01,4.161285e-01,-1.777363e-01,9.851593e-02,-4.809886e-01,1.406959e-01,1.718268e-01,1.011734e-02,-8.216859e-03
