Instance,RandomSeed,Nparticles,Nstokeslets,Phi,Radius,mu,uinf,LSres,u_avg,v_avg,w_avg,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,fx0,fy0,fz0
0,1903,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,8.899484e-05,9.823378e-02,-1.005909e-03,7.482296e-04,0.000000e+00,0.000000e+00,0.000000e+00,-1.923786e-01,8.555544e-02,-1.417228e-01,2.565536e-01,-4.049349e-01,2.722440e-01,-7.042903e-02,-9.739127e-02,-4.695097e-01,3.478562e-01,4.715940e-01,-2.153085e-01,4.983602e-01,-3.334434e-01,2.789523e-02,2.703928e-01,-1.690872e-01,-4.819652e-01,3.183610e-01,-5.400030e-02,2.984198e-01,-2.898859e-01,-5.986497e-03,4.013692e-01,2.530205e-01,1.639974e-01,-2.946287e-01,4.456696e-01,4.060676e-01,-4.944250e-01,-2.891891e-01,2.964328e-01,-1.654860e-01,4.295057e-02,1.965071e-01,-3.463916e-01,-1.548607e-01,4.893339e-01,2.491667e-02,1.174913e-01,-2.491300e-01,9.103018e-02,-2.698976e-01,-2.955657e-01,-3.760522e-01,-2.732044e-01,-4.890613e-01,-3.451641e-01,6.189247e-02,4.266701e-01,2.456448e-01,3.447445e-02,-3.031997e-01,-2.544444e-01,-1.654813e-01,-2.243022e-01,4.692776e-01,-3.675895e-01,-3.383301e-01,3.792134e-01,-4.362221e-01,-1.717290e-01,-3.219655e-01,-2.186905e-01,2.781658e-01,-4.700057e-01,1.396723e-01,-4.864799e-01,-2.743123e-01,4.951590e-01,-1.286260e-01,1.462494e-01,-3.600736e-01,2.773271e-01,2.927382e-01,4.474932e-01,-3.611029e-01,3.949402e-01,-2.499134e-01,-3.170898e-01,5.476450e-02,-4.873451e-01,4.430096e-01,-1.145134e-02,2.721147e-01,4.759297e-01,2.823699e-01,1.934148e-01,2.715108e-02,-1.401623e-02
1,307621426,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,9.201198e-05,9.987986e-02,1.372222e-03,2.729792e-03,0.000000e+00,0.000000e+00,0.000000e+00,-3.733715e-01,-3.934597e-01,-4.306716e-01,-3.416720e-01,-2.049039e-01,-1.586389e-01,3.585634e-01,8.456765e-02,3.954375e-01,4.290277e-01,-1.840389e-01,2.245048e-01,-1.867334e-01,3.750520e-01,5.271161e-02,2.859127e-01,1.447748e-01,5.496442e-02,-2.759968e-01,-3.781798e-01,-2.605206e-01,-3.566407e-01,1.702947e-01,2.661178e-01,-4.362884e-02,2.440535e-01,2.376015e-01,-4.683985e-01,2.064698e-01,-2.389831e-01,-1.599037e-01,-1.414252e-01,4.874401e-01,3.502132e-01,-1.635005e-01,3.810326e-01,-1.183079e-01,-4.284570e-01,5.850071e-02,3.631548e-01,4.400278e-01,-2.406787e-01,3.063556e-01,-2.179614e-01,-2.232643e-01,1.326922e-01,4.335895e-01,1.173801e-01,1.622343e-01,-1.136235e-01,3.290648e-02,1.336997e-01,-2.441597e-01,2.603589e-01,-4.708511e-01,4.663913e-02,-5.445575e-02,2.972966e-01,-3.715659e-01,1.845897e-01,3.578018e-01,-5.129314e-02,-2.112153e-01,3.836300e-01,2.500390e-01,2.525661e-01,2.669177e-01,-3.710434e-01,4.594119e-01,-3.638051e-01,4.283531e-01,-4.453667e-01,-3.088323e-01,3.535788e-01,4.390362e-01,-3.166955e-01,-3.642011e-01,1.498503e-01,-4.667284e-01,1.810348e-02,-4.489951e-01,2.396939e-01,3.384157e-01,-2.907407e-01,1.973188e-01,-4.198057e-01,-4.394314e-01,8.799455e-02,1.049203e-02,-3.496800e-02
2,126628527,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,6.393536e-05,1.247825e-01,8.435488e-03,8.419590e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.253508e-01,-1.246765e-01,4.509221e-01,-4.282965e-02,-4.124071e-01,1.347442e-01,3.600610e-01,-6.543440e-02,-1.198248e-01,-2.683449e-01,2.254676e-01,-4.224576e-01,1.652584e-01,3.330258e-01,-3.447950e-01,-1.205148e-01,-2.946826e-01,-3.189119e-02,4.502754e-01,3.620448e-01,4.440247e-01,4.481894e-01,3.278853e-01,-3.894233e-01,1.316136e-02,4.625908e-02,1.994895e-01,1.671354e-02,-2.999445e-01,4.315400e-01,4.074336e-01,-1.631817e-01,3.027184e-01,-2.359430e-01,-3.198741e-01,-2.540192e-01,1.580200e-01,-2.443839e-01,7.075820e-02,-3.966538e-01,-1.127027e-01,4.880328e-01,-2.473447e-01,2.203553e-01,3.870925e-01,-4.590784e-01,-4.536228e-01,1.929602e-02,-1.086385e-01,6.571657e-02,-2.506135e-01,-3.129983e-01,-1.128286e-01,7.436818e-02,4.879682e-01,3.225109e-01,3.422067e-02,1.578825e-01,1.108215e-01,-2.604008e-01,-3.253640e-01,6.081337e-02,-4.138524e-02,-7.624443e-02,3.563056e-01,2.735014e-01,-1.305309e-01,-4.613337e-02,-4.309855e-01,1.012095e-01,3.460914e-01,1.910683e-01,-1.086219e-01,-1.705132e-01,4.140321e-01,4.792648e-01,1.198074e-02,3.485809e-01,1.431058e-01,4.284760e-01,-2.035072e-01,-1.432087e-01,1.680436e-01,1.693875e-01,-4.718877e-01,1.660672e-01,8.874864e-02,1.138701e-01,-1.823565e-02,-7.396831e-03
3,825350843,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,9.390197e-05,1.307853e-01,1.996692e-03,4.379896e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.143177e-01,-1.168275e-01,1.511327e-01,-3.419536e-01,1.798297e-02,2.057324e-01,1.093141e-01,-6.753835e-02,4.149402e-01,-3.577982e-01,-2.096814e-01,-4.698374e-01,1.749330e-01,3.645973e-01,1.051881e-02,3.943741e-01,-2.956160e-01,-2.727745e-01,1.912741e-01,3.161068e-01,1.997388e-01,1.256593e-01,-2.622467e-01,2.375849e-01,4.712414e-01,3.732350e-01,8.504942e-02,2.873929e-01,-3.284080e-01,-4.949726e-01,2.573374e-01,-4.655661e-01,3.294358e-01,-4.714066e-01,3.681989e-01,2.453377e-01,-6.292989e-02,-4.329085e-01,6.812221e-03,-1.486107e-01,6.695432e-02,4.547443e-01,3.624944e-01,1.686204e-01,4.421040e-02,3.138594e-01,6.379805e-02,4.744875e-01,3.307814e-01,4.931713e-01,-3.417486e-01,2.674035e-01,2.812035e-02,2.925887e-01,2.305624e-02,-3.243696e-01,9.569180e-02,-9.998555e-02,3.074395e-01,6.545448e-03,-2.709226e-01,-3.838737e-01,2.883745e-01,-4.126085e-01,-4.354652e-01,3.681063e-01,-4.690694e-01,-1.772563e-01,-2.938813e-01,-3.373882e-01,3.670879e-01,-1.165768e-01,-6.189280e-02,-6.480748e-02,-1.652857e-01,4.916742e-01,-1.669024e-01,4.729724e-01,-2.158543e-01,-3.446059e-01,1.144229e-01,1.472683e-01,1.386827e-01,4.530568e-01,-4.524410e-01,-3.382174e-01,8.989332e-02,1.389220e-01,-8.384714e-03,-3.086329e-02
4,714317708,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,3.965871e-05,1.242379e-01,2.084667e-03,-6.309423e-03,0.000000e+00,0.000000e+00,0.000000e+00,-8.206025e-02,-2.529070e-01,3.151063e-01,4.801232e-01,-6.329072e-02,-4.267479e-01,-1.691434e-01,5.766275e-02,2.472017e-01,-1.570753e-02,2.626087e-01,4.729190e-01,-3.836348e-01,1.503214e-02,-2.252501e-02,3.525253e-02,1.733674e-01,-2.288557e-01,-4.879151e-01,-7.229641e-02,3.083005e-01,4.075184e-01,3.393455e-01,-3.291792e-01,3.545989e-01,-2.820218e-02,1.970281e-01,-1.245099e-01,2.531760e-01,-2.222477e-01,1.664828e-01,9.788452e-02,-4.710646e-01,-2.263784e-01,1.979539e-01,-1.114418e-01,1.760782e-01,-3.503738e-01,4.574042e-02,-1.865874e-01,-7.313966e-04,-1.719272e-01,4.001133e-01,-4.416777e-01,4.405790e-01,2.651444e-01,4.449228e-01,3.949894e-01,-4.963198e-02,-2.152974e-01,3.016543e-03,-4.570841e-01,4.025128e-01,2.278738e-01,1.037868e-01,3.863619e-01,-6.795292e-02,2.170205e-03,3.986667e-01,-3.730733e-01,2.594324e-01,3.161753e-01,-1.853094e-01,2.119679e-01,1.564499e-01,-2.868337e-01,1.385647e-02,-1.663904e-01,-1.367035e-01,-4.400366e-01,-2.827569e-01,-4.718627e-02,4.774929e-02,4.193880e-01,3.602622e-01,-1.557826e-02,-2.950320e-01,-4.927941e-01,-2.311091e-01,4.789742e-01,-5.919237e-02,1.518131e-01,1.064441e-01,-4.379424e-02,3.750152e-01,3.225606e-03,4.103270e-01,9.486331e-02,-9.077383e-03,-1.660929e-03
5,417939750,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,8.679075e-05,1.141909e-01,2.056261e-03,-4.471195e-03,0.000000e+00,0.000000e+00,0.000000e+00,-1.460531e-01,-2.717166e-01,3.943477e-01,4.454534e-01,-2.726870e-01,4.194381e-01,-4.181875e-01,-2.957968e-02,2.039608e-01,-1.662064e-01,-2.604052e-01,-2.951313e-01,2.405835e-01,3.709846e-01,-9.490291e-02,1.945731e-01,2.891809e-01,1.798764e-01,-3.748483e-02,-2.709866e-01,4.846227e-03,7.686680e-02,-3.867872e-01,-2.509490e-01,-4.424209e-01,-2.565715e-01,4.073333e-02,2.016827e-02,-1.288713e-01,4.925471e-01,-3.058056e-01,2.384470e-01,1.829159e-01,7.771642e-02,2.290302e-01,7.851337e-02,-3.728219e-01,3.733833e-01,-2.612385e-01,1.410481e-01,3.567399e-01,4.523804e-01,-3.817712e-01,1.172877e-01,4.168267e-01,-3.457004e-02,-2.553480e-02,-2.039619e-01,3.968154e-01,-3.434891e-02,-3.190489e-01,7.535249e-02,5.014812e-02,2.313011e-01,4.438328e-01,-3.501503e-01,-2.512232e-01,-3.342885e-01,-3.067628e-01,-7.464067e-02,-3.916341e-01,-1.868170e-01,4.756454e-01,3.069140e-01,1.585494e-01,2.502438e-02,-3.410732e-01,-1.359983e-01,-2.947924e-01,-4.306858e-01,-4.929750e-01,-8.938350e-02,4.678468e-01,4.627865e-01,-1.863243e-01,-4.609611e-01,3.752224e-01,2.954387e-01,4.372829e-01,-3.736734e-01,-4.929771e-02,-4.362482e-01,2.130232e-01,-3.609990e-01,1.628527e-01,1.662781e-01,4.030739e-01,1.191279e-01,-2.139545e-02,2.869293e-03
6,353946926,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,9.946111e-05,1.187577e-01,-2.603549e-03,-2.900534e-03,0.000000e+00,0.000000e+00,0.000000e+00,-2.328375e-02,1.578602e-01,4.769302e-01,-3.768234e-01,-4.440376e-01,3.759875e-01,2.722968e-01,2.175214e-01,2.819984e-02,-1.299763e-01,1.139796e-01,-1.143525e-02,-4.028308e-01,1.201166e-01,4.207670e-01,4.922733e-02,1.080358e-01,-2.799757e-01,-1.368522e-01,3.285230e-01,-3.131827e-01,-1.557545e-01,1.559516e-01,-3.938119e-01,3.900871e-01,2.756399e-01,2.018762e-01,-1.558762e-01,-3.120418e-01,-2.168055e-01,3.992062e-01,-2.472288e-01,-2.639952e-01,4.400747e-01,4.351952e-01,-1.905559e-01,-3.424581e-01,-2.488455e-01,1.533544e-01,-3.686538e-01,8.326854e-03,-1.415464e-01,2.695522e-01,-3.110167e-01,1.115633e-01,-3.115507e-01,-5.203603e-02,4.839336e-01,-1.008992e-01,-4.941556e-01,2.519524e-01,1.890048e-02,-3.935321e-01,-9.843069e-02,-1.412181e-01,1.700130e-01,2.073338e-01,-1.283496e-01,3.538289e-01,-7.443031e-02,4.540414e-01,3.580917e-01,-3.982096e-01,4.542298e-01,9.183358e-02,2.501246e-02,-1.001859e-01,-7.140102e-02,-2.563472e-01,3.470418e-02,-1.449172e-01,-1.403206e-01,4.578607e-01,-6.024896e-02,1.233420e-01,2.147380e-01,-3.747332e-01,2.707705e-01,-4.051822e-01,4.409224e-01,2.540366e-01,2.400704e-01,2.642133e-02,-2.580942e-01,-2.683811e-01,4.984587e-01,-4.222098e-01,9.835026e-02,1.498103e-02,2.908649e-02
7,476716246,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,6.654930e-05,1.307677e-01,-2.296524e-03,4.037823e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.660207e-01,3.315393e-01,4.739448e-02,6.784268e-02,1.361318e-01,3.445708e-01,1.854175e-01,-4.807724e-01,4.751853e-01,-2.120867e-01,2.794366e-01,-3.706768e-01,2.078767e-01,-4.499828e-01,9.303533e-02,-3.633011e-01,5.865143e-02,7.788898e-02,-4.218566e-01,3.778773e-01,1.930856e-01,5.711300e-02,-1.272453e-01,-3.245203e-01,4.007924e-01,-4.413881e-01,4.307831e-01,1.794334e-01,1.428593e-01,-5.819602e-02,-4.026407e-01,9.936333e-02,-8.052745e-02,-3.957054e-01,4.510408e-01,-4.548101e-01,-1.213384e-01,-5.835361e-02,3.252107e-01,-7.557425e-02,-2.711143e-01,-2.480178e-01,-3.019451e-01,2.201168e-01,4.054978e-01,-5.890043e-02,4.021405e-01,-1.064071e-01,-4.341019e-01,-3.630228e-01,3.707387e-02,3.184562e-01,-1.048644e-01,2.355380e-01,-3.856630e-01,-3.652034e-01,-1.182329e-01,2.923311e-01,-8.358249e-02,6.688924e-02,-2.668995e-01,-1.542073e-01,2.436272e-01,-3.577796e-01,2.548983e-01,-1.714044e-01,3.209344e-01,2.085791e-01,-1.653117e-01,1.348601e-01,4.871621e-01,-2.675301e-02,-2.402031e-01,6.834354e-02,-3.503170e-01,3.562720e-01,1.862216e-01,4.195420e-02,1.641631e-01,2.229302e-01,-4.370314e-01,4.576145e-01,-5.830849e-02,4.076532e-02,-6.990813e-02,-3.280182e-01,2.859667e-01,1.082433e-01,-4.688021e-03,-5.772203e-03
8,766020654,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,6.552371e-05,1.069809e-01,-2.874402e-03,4.185282e-03,0.000000e+00,0.000000e+00,0.000000e+00,-3.404480e-01,4.719981e-01,3.592246e-01,4.256163e-01,-4.576648e-03,-4.973985e-01,-4.393162e-01,2.689225e-01,-2.954437e-01,4.788984e-01,-2.709627e-01,2.647421e-01,-1.492009e-01,-2.422544e-01,4.693526e-01,-6.863334e-02,-3.669354e-01,-3.848492e-01,7.241819e-02,2.896259e-01,3.114856e-01,-2.428406e-01,-4.817612e-01,-4.254864e-01,-4.672172e-03,-1.082357e-01,3.669867e-01,-1.072452e-01,-2.181321e-01,-1.732191e-01,-3.346759e-01,-4.213114e-01,1.781410e-02,-3.651730e-01,-8.159015e-02,-2.400768e-01,3.902861e-02,-3.917227e-01,-1.833593e-01,-9.199463e-02,4.921020e-02,-2.490704e-01,-1.135026e-02,-2.023540e-01,1.430069e-01,3.721242e-01,2.706761e-02,-3.052113e-01,-3.103740e-02,2.884169e-01,5.872741e-02,-7.910347e-02,3.295791e-01,3.678920e-01,3.288156e-01,-4.761465e-01,-1.042212e-01,-2.397009e-01,-3.572496e-01,3.247356e-01,2.182209e-01,3.156305e-01,4.226700e-01,-2.521133e-01,1.343033e-01,-1.902689e-03,3.411189e-01,-3.834268e-01,-3.431600e-01,6.607881e-02,2.539523e-01,-4.019228e-01,-3.829362e-01,-6.196100e-02,-4.059485e-01,-6.588539e-02,-3.945044e-01,1.245783e-01,1.398125e-01,-4.459108e-01,3.871550e-01,1.549627e-01,-1.216171e-01,5.508647e-02,4.179223e-01,4.338479e-01,-3.576423e-01,1.729472e-01,3.597473e-02,-2.085346e-02
9,159552004,30,300,6.400000e-02,7.985891e-02,1.000000e+00,1.000000e+00,3.651296e-05,1.193480e-01,9.036886e-04,-3.954713e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.062492e-01,-1.807309e-01,-5.492992e-02,4.116515e-01,2.316583e-01,2.092098e-01,2.175203e-01,-2.206913e-01,2.098572e-01,9.644947e-02,-3.501947e-01,-4.216441e-01,3.748598e-01,-2.389478e-01,3.752913e-01,-2.727249e-01,-1.884301e-01,4.816497e-01,2.745111e-01,-8.744029e-02,3.510437e-01,-2.756684e-01,-5.824196e-02,-3.050552e-01,2.765230e-01,1.755877e-02,-4.813861e-01,-3.065904e-02,2.636798e-01,2.492959e-02,1.550966e-01,4.176294e-01,-2.265804e-02,-6.366422e-02,-2.787081e-01,-1.557558e-01,-3.614753e-01,-1.139447e-02,4.629246e-01,-3.066526e-01,4.295468e-01,2.064812e-01,-2.201201e-01,3.567526e-01,3.716365e-01,2.854347e-01,3.772124e-01,-3.146705e-01,-5.512918e-02,-9.625016e-02,-4.618484e-01,4.530741e-01,8.180446e-02,-5.645580e-02,1.067302e-01,-3.792797e-02,-4.781169e-01,-6.165740e-02,-4.615231e-01,3.966646e-01,4.646625e-01,-1.777410e-01,-4.227608e-01,-4.602988e-01,2.678432e-01,-1.147922e-01,8.741521e-02,1.548246e-01,1.792787e-02,1.158223e-02,-2.413715e-02,4.001047e-01,-1.907185e-01,6.487876e-02,-4.386920e-01,-3.431342e-01,-4.862851e-01,4.722608e-01,3.539221e-01,-9.628310e-02,-4.745196e-03,-3.080912e-01,-3.742491e-01,-7.551233e-02,4.655217e-01,1.094166e-01,3.167835e-01,1.407918e-01,8.080911e-03,-1.356055e-02
