Instance,RandomSeed,Nparticles,Nstokeslets,Phi,Radius,mu,uinf,LSres,u_avg,v_avg,w_avg,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,fx0,fy0,fz0
0,1667353448,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,9.122698e-05,6.144047e-02,1.328658e-03,1.347317e-03,0.000000e+00,0.000000e+00,0.000000e+00,-4.492427e-01,2.344981e-01,4.633217e-01,-4.348006e-01,3.234502e-01,9.231305e-02,-2.839725e-01,4.116254e-01,4.014641e-01,2.419448e-01,-3.760523e-01,-4.207403e-01,4.429804e-01,1.760353e-01,1.257335e-01,4.364498e-01,-3.165870e-01,2.583303e-01,-2.107923e-01,-4.856518e-01,-4.455297e-01,3.565399e-02,4.699539e-01,-4.140738e-01,-4.507330e-01,2.466304e-01,-3.783695e-01,-3.692004e-01,2.753065e-02,2.946231e-01,-3.346870e-01,-3.050726e-01,-3.534684e-01,2.531595e-01,-3.102225e-01,-6.192338e-02,1.232600e-01,4.990896e-01,-2.312449e-01,-4.387983e-01,-1.837560e-01,3.594061e-02,-3.477504e-02,-4.222466e-01,3.598223e-01,1.080992e-01,-3.028962e-02,-3.945548e-01,-2.168441e-01,2.195997e-02,-1.371730e-01,-4.513627e-01,-2.519289e-01,3.953941e-01,7.080365e-02,-2.713805e-01,-1.434564e-01,3.724528e-01,-2.272368e-01,-4.994512e-01,1.241433e-01,2.740444e-01,-2.112359e-01,4.242326e-01,4.819024e-01,-2.564094e-01,1.343764e-01,-1.063999e-02,2.074620e-01,-2.718452e-01,-4.502881e-01,2.549876e-01,4.541022e-01,3.005544e-01,3.709255e-01,2.156565e-02,-4.692242e-01,-1.012014e-02,2.109213e-01,2.560769e-01,3.726790e-01,4.034521e-01,3.798020e-01,8.646797e-02,4.055208e-01,-2.465776e-02,1.386293e-01,1.141480e-01,-1.297374e-02,-1.807694e-03
1,50757297,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,8.708208e-05,8.419335e-02,4.100482e-03,8.293543e-03,0.000000e+00,0.000000e+00,0.000000e+00,8.005299e-02,-2.931144e-01,3.327164e-01,3.401040e-02,1.309219e-01,-3.804652e-01,-2.081161e-01,-4.628490e-01,4.840977e-01,-1.251903e-01,-2.517543e-01,1.423949e-01,1.490984e-01,2.147402e-01,1.776015e-02,-1.222648e-01,4.293176e-01,-9.886051e-02,4.488327e-01,4.018493e-02,-4.016832e-01,-1.739536e-01,-3.919434e-02,-3.469866e-01,-2.612620e-01,-2.118762e-01,-7.057138e-02,-2.059848e-01,4.340579e-03,4.121737e-01,-1.731778e-01,-2.048516e-01,3.502250e-01,-4.228929e-01,2.149649e-01,2.162179e-01,1.866055e-01,-2.290126e-02,2.778454e-01,-3.947751e-02,-1.573888e-01,-2.338229e-01,3.793701e-01,-3.190296e-01,2.531101e-01,-3.389819e-01,-4.604974e-01,-1.839468e-02,1.621950e-01,-3.446491e-01,1.447644e-02,2.558835e-01,-4.232613e-02,-3.175136e-02,4.450099e-01,2.425639e-01,2.292825e-01,-3.187876e-01,-4.303453e-01,-3.207587e-01,-3.175314e-01,-1.182075e-02,-1.237564e-01,4.631997e-01,-1.078761e-02,3.866567e-01,-1.948405e-01,2.909852e-01,2.689605e-01,-4.785250e-01,-1.408909e-01,-3.144154e-01,-2.117134e-01,2.414177e-01,-4.402540e-01,-2.126939e-02,-7.446691e-02,4.020152e-01,-1.507752e-01,4.908607e-01,4.062251e-01,-4.511473e-02,-1.275448e-01,-4.769690e-01,3.043801e-01,1.945471e-01,4.420814e-01,1.287038e-01,-2.488098e-02,-3.012238e-02
2,580052985,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,9.990602e-05,8.303751e-02,6.461545e-03,-4.768368e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.571940e-01,2.369758e-01,4.096446e-01,-2.012693e-01,2.342405e-01,3.921235e-01,-4.305030e-01,-2.523190e-01,3.502677e-01,4.175691e-01,4.623058e-01,4.538948e-02,8.416772e-02,-1.367885e-01,2.859646e-01,-3.093788e-01,-4.035721e-01,9.768321e-02,4.388510e-02,-3.465686e-01,2.526890e-01,-3.292546e-01,4.637792e-02,-2.125197e-01,6.617322e-02,3.728898e-01,-3.347364e-01,3.946302e-01,-2.805135e-01,-3.069294e-02,-4.074805e-01,6.744341e-02,5.895215e-02,3.858570e-01,3.619328e-01,-2.858934e-01,2.203966e-01,4.037377e-01,1.595050e-01,3.560086e-01,4.959499e-01,3.187806e-01,1.978025e-01,-1.890943e-01,-4.950957e-01,-2.114980e-01,1.277039e-01,-5.182108e-02,1.908923e-01,-3.008679e-01,-2.572278e-01,-2.346934e-01,3.344597e-01,1.722306e-01,-2.415303e-01,3.138333e-01,-4.849909e-01,-5.440146e-02,3.872593e-01,4.876223e-02,-3.257023e-01,-3.495751e-01,-1.055639e-01,1.613142e-01,-5.819704e-02,-1.809249e-01,-1.758148e-01,3.218423e-01,-2.411204e-01,-3.850189e-01,2.789334e-01,-3.164568e-01,-1.591472e-01,3.823463e-03,-3.678927e-01,-3.599898e-01,4.767745e-01,7.203273e-02,3.217550e-01,5.071003e-02,-3.066970e-01,-1.339943e-01,-2.098765e-01,-3.632165e-01,1.872838e-01,3.168064e-01,-1.716344e-01,1.610329e-01,3.230583e-02,1.205548e-03
3,657194011,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,7.901425e-05,6.625780e-02,4.567613e-04,-1.423546e-03,0.000000e+00,0.000000e+00,0.000000e+00,-3.091738e-01,-4.414515e-01,-2.506145e-01,1.756068e-01,1.898878e-01,-2.300573e-01,1.887174e-01,4.435842e-01,1.029487e-01,2.994147e-01,-4.641166e-01,1.434192e-01,4.331203e-01,4.592095e-01,-4.672375e-01,-7.331957e-02,6.189253e-02,3.390767e-01,-4.482908e-01,4.425550e-01,-2.651047e-01,2.191560e-01,-9.929428e-03,3.646744e-01,-7.527445e-02,-1.896397e-01,-4.254398e-01,9.042340e-02,-4.576768e-01,1.443471e-01,3.817641e-01,3.725137e-01,-1.018194e-01,-3.535474e-01,-1.993485e-01,-3.734112e-01,4.309941e-01,-4.127288e-01,-1.344628e-02,-4.036376e-01,4.243628e-01,4.811124e-02,1.980136e-02,2.336132e-01,1.108096e-01,-1.136128e-01,-4.121447e-01,4.258902e-01,-2.784104e-01,-4.536856e-01,1.685430e-01,-4.968030e-01,2.169716e-01,-3.135365e-01,-4.497666e-01,4.788216e-01,4.013395e-01,-6.810589e-02,4.581168e-01,2.270708e-01,1.082537e-01,-2.613327e-01,2.620890e-01,-4.930548e-01,3.874533e-02,-4.367952e-01,4.139206e-01,-1.260420e-02,-1.755229e-01,-3.005951e-01,-3.279870e-01,-4.138200e-02,1.077404e-01,-2.733629e-01,7.624035e-03,6.316424e-02,4.475316e-01,4.345819e-01,2.538397e-01,-4.286072e-01,-4.152923e-01,-4.683963e-01,-1.135702e-01,-2.254192e-01,1.232484e-01,-6.347430e-03,-3.188909e-01,1.921143e-01,9.215910e-03,-2.720749e-02
4,190826198,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,8.213371e-05,8.423508e-02,-1.432293e-02,-3.857878e-03,0.000000e+00,0.000000e+00,0.000000e+00,4.431047e-01,-3.114244e-01,-2.735101e-01,3.194035e-01,-3.246606e-01,-4.958780e-01,-7.638794e-02,4.733431e-01,-4.862461e-01,2.557474e-01,-1.852020e-01,1.572398e-01,-3.039678e-01,1.976247e-01,-2.225993e-01,2.605417e-01,-3.575796e-01,3.690454e-01,7.243194e-02,5.971312e-02,2.221080e-01,6.113379e-02,-2.198537e-01,-9.433790e-03,-3.675596e-01,8.792937e-02,1.604147e-01,-1.172062e-01,3.117921e-01,4.956796e-01,-3.362140e-01,3.648738e-01,4.317930e-01,-6.026142e-02,2.310027e-01,1.689219e-03,1.111418e-01,3.686337e-01,-4.413026e-01,2.762382e-01,2.681578e-01,1.397451e-02,-2.796726e-01,-2.572994e-01,2.858206e-01,-9.149233e-02,-3.260187e-01,-1.585427e-01,-1.317770e-02,2.627307e-01,3.050384e-01,4.888931e-01,-1.531559e-01,-3.878111e-02,-1.105179e-01,-4.289357e-01,3.142584e-01,-3.390148e-01,3.099848e-01,-4.574801e-01,3.987121e-01,1.297150e-01,1.086408e-01,-3.388253e-01,5.873546e-02,3.575771e-01,-8.491367e-03,4.429935e-02,-3.812416e-01,-3.450125e-01,3.820740e-01,-1.172686e-01,2.820514e-01,-4.118624e-01,-8.248214e-02,-2.366598e-01,4.006051e-01,6.434165e-02,4.417561e-01,-3.358394e-01,2.536016e-01,-4.960883e-01,1.845736e-01,3.405795e-01,-8.008419e-02,-2.063369e-01,-4.347483e-01,1.515077e-01,4.518813e-02,8.754369e-04
5,943104742,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,9.716440e-05,8.522678e-02,3.262840e-03,5.998783e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.178922e-01,2.460842e-01,3.398602e-01,-2.871731e-01,4.447833e-01,-3.614351e-01,-3.326827e-01,4.907538e-01,-4.812643e-02,-1.394384e-01,-2.048356e-01,1.780235e-01,3.993018e-02,-8.077905e-02,-2.873473e-01,1.327348e-01,-1.766575e-01,3.618186e-01,-1.025635e-01,3.445948e-01,-4.315026e-01,4.021153e-01,-1.766254e-01,4.612528e-01,-3.528066e-01,-2.032068e-01,-2.640967e-01,5.958643e-02,-3.540513e-01,1.384043e-01,2.065035e-01,2.269728e-01,-3.195912e-01,-1.556451e-01,-3.087125e-01,4.121236e-01,-3.856233e-01,-3.321998e-01,4.122096e-01,4.759876e-02,4.989071e-01,-7.612773e-02,-2.799371e-01,6.537324e-03,3.833275e-01,-1.201003e-01,-4.956443e-01,2.731847e-01,7.889987e-02,1.708506e-02,2.277049e-01,-4.885998e-01,9.225210e-02,3.431847e-01,-3.178147e-01,-3.178826e-01,2.930338e-02,-2.512107e-01,4.237934e-01,2.200483e-01,4.407501e-01,-3.774311e-01,2.809020e-01,-1.658428e-01,2.231149e-01,2.998370e-01,7.963559e-02,3.654058e-01,4.346273e-01,1.678763e-01,2.867022e-03,-4.252669e-01,-4.272470e-01,-1.709007e-01,-4.655937e-01,2.598542e-01,3.357583e-01,6.907112e-02,2.158604e-01,-7.387876e-02,6.235128e-02,-2.928371e-01,2.920309e-01,-1.829666e-01,-2.067238e-01,2.337798e-01,3.472608e-03,1.804031e-01,7.969937e-03,-2.361270e-02
6,817892240,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,7.820826e-05,6.749803e-02,-2.413551e-03,-5.315861e-03,0.000000e+00,0.000000e+00,0.000000e+00,-4.975024e-01,3.327933e-01,-1.369898e-01,-2.006529e-01,-2.762311e-01,2.170460e-01,-2.353813e-01,-4.603364e-01,-1.850631e-01,-4.775602e-01,-8.439211e-02,2.508109e-01,3.943751e-01,-2.025112e-01,-4.738333e-01,2.644890e-01,2.804650e-01,-3.560413e-01,-4.964483e-01,-2.349119e-01,-4.633725e-01,-3.552570e-01,-1.656845e-01,4.968080e-01,4.306054e-01,2.960988e-02,-7.179792e-02,-8.755890e-02,-3.727215e-02,-3.772846e-01,-2.492251e-01,4.794209e-01,-3.454210e-01,3.084445e-02,1.890427e-01,-2.607538e-01,-3.237453e-01,9.033400e-02,3.944163e-01,2.621016e-01,-1.270821e-01,-2.149962e-01,-4.345393e-01,-5.865623e-02,5.376981e-02,-1.393651e-01,6.461900e-02,1.954155e-01,-2.561311e-01,3.481141e-02,-1.103966e-01,2.354514e-01,-1.531753e-01,4.208840e-01,4.579060e-01,-3.287512e-01,-2.238493e-01,-3.237619e-01,-4.763817e-01,2.961764e-01,-4.842673e-01,3.424588e-01,1.583773e-01,2.895580e-01,-4.258251e-01,2.031739e-01,3.997608e-01,1.745223e-02,2.198277e-01,4.795941e-01,-1.215885e-01,4.545213e-01,-1.078248e-02,3.955613e-01,-3.686435e-01,-2.148917e-01,3.848831e-01,6.133721e-02,2.914807e-01,3.915843e-01,3.194684e-01,1.876803e-01,-4.312735e-01,-3.935642e-01,4.717207e-01,3.087496e-01,-3.932459e-01,8.487139e-02,1.955599e-02,1.020102e-02
7,2497623,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,9.336991e-05,7.888664e-02,2.088187e-03,5.509784e-03,0.000000e+00,0.000000e+00,0.000000e+00,-4.545957e-01,-4.010224e-01,2.176279e-01,-1.646885e-01,-9.864555e-02,6.456694e-02,4.626832e-02,-3.105750e-01,3.531284e-01,5.296290e-02,3.448908e-01,7.775945e-02,-1.539513e-01,-2.999596e-02,-1.519080e-01,7.882052e-02,-1.456100e-01,-3.071798e-01,-4.315423e-01,6.910311e-02,-1.168944e-01,-4.014824e-01,4.143991e-01,-3.157344e-01,-4.819754e-01,-1.267288e-01,2.808795e-01,2.734382e-01,1.508494e-01,4.476956e-02,1.999368e-01,4.299914e-01,3.772834e-01,-1.729291e-01,4.075456e-01,2.123721e-01,3.122792e-01,1.437678e-01,3.589225e-01,-3.590410e-01,-4.950510e-03,-3.882945e-01,2.640660e-01,-3.893484e-01,8.738674e-02,7.828534e-02,4.823214e-04,3.903770e-01,3.512754e-01,4.575373e-03,-9.813954e-02,2.643261e-01,-4.759461e-01,4.525276e-01,-1.945023e-01,-2.889382e-01,1.905874e-01,-1.308678e-01,3.142678e-01,-2.838513e-01,-3.648611e-01,1.109316e-01,1.388795e-01,5.704943e-02,1.370290e-01,-1.828785e-01,2.476628e-01,-1.773184e-01,4.518150e-01,4.910867e-01,3.281232e-01,-3.302466e-01,-4.604488e-01,4.609639e-01,-7.929787e-03,-1.687814e-01,-7.657268e-02,3.388103e-01,-3.910954e-01,-2.868939e-01,-2.513042e-01,3.900883e-01,4.591060e-01,-7.580765e-02,4.725576e-02,-2.758249e-01,-4.857538e-01,8.146822e-02,-3.192676e-02,7.009249e-03
8,45404309,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,9.246565e-05,6.724465e-02,-8.884140e-04,6.891398e-04,0.000000e+00,0.000000e+00,0.000000e+00,-2.286062e-01,4.068748e-01,9.776863e-02,-2.388313e-01,-1.162626e-01,3.616824e-01,3.555916e-01,2.101425e-01,3.724780e-01,-3.940762e-01,6.110478e-02,-4.951947e-01,-2.552274e-01,9.104426e-02,2.374085e-01,-2.347133e-01,3.371146e-01,-3.776820e-01,-5.525022e-02,-3.882458e-01,-1.911483e-02,2.983915e-01,-3.089176e-01,-3.226863e-01,4.086476e-01,1.324091e-01,-1.072670e-01,-4.850814e-01,4.984987e-01,9.485469e-02,2.174585e-01,4.195698e-01,4.564709e-01,3.863144e-01,2.401512e-01,6.211929e-02,3.629645e-01,-9.430004e-03,1.022588e-01,8.399197e-02,4.406338e-01,-3.450972e-01,-3.824760e-01,-3.431401e-01,-3.391582e-01,-3.719939e-01,-2.945610e-01,4.653486e-01,1.180881e-01,3.465823e-01,3.941377e-03,1.296426e-01,4.370204e-01,2.155558e-01,3.587713e-02,-1.116130e-01,3.559496e-01,3.134133e-01,4.670856e-01,-3.537163e-01,1.329090e-01,-2.881089e-01,-5.843229e-02,-2.639514e-01,1.026590e-01,-2.951095e-01,2.934981e-01,9.433998e-02,-3.860766e-01,-4.602547e-01,2.907711e-01,-2.828644e-01,-3.283263e-01,-9.552709e-02,-2.616092e-01,1.131995e-01,-3.567448e-01,3.060311e-01,-1.554930e-01,4.761347e-01,-9.232961e-02,-4.989674e-01,-4.940819e-01,3.571772e-03,3.180646e-01,-4.922140e-01,6.913284e-02,1.557525e-01,-1.864830e-02,-2.660933e-02
9,271393793,30,300,1.250000e-01,9.982364e-02,1.000000e+00,1.000000e+00,6.727025e-05,8.181327e-02,2.467642e-03,-1.995520e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.727389e-01,-1.473788e-01,-2.609705e-01,-1.509007e-01,-2.089006e-01,-5.139447e-02,1.984734e-01,7.045437e-03,1.254174e-01,4.259927e-01,2.967668e-01,-2.506243e-01,9.946212e-02,-4.806758e-01,-1.384610e-01,3.492750e-01,-2.785371e-01,-1.381479e-01,-3.988204e-01,-1.646590e-01,-1.526163e-02,3.073261e-01,4.907523e-01,-2.470159e-01,3.593642e-01,4.099499e-01,3.480765e-01,4.545476e-01,2.224909e-01,-6.323340e-02,-8.241141e-02,4.119718e-01,1.853359e-01,7.733996e-02,2.000137e-01,1.399289e-01,4.493371e-01,1.015750e-02,-2.218183e-01,-4.436458e-01,4.393883e-01,2.547711e-01,-2.990635e-01,-2.834412e-01,4.752808e-01,-4.962551e-01,-7.903618e-02,2.265669e-01,-3.917576e-01,-3.030308e-01,-3.609269e-01,-4.849027e-01,1.538206e-01,-2.441847e-01,-2.245931e-01,1.204640e-02,9.134764e-02,-3.150857e-02,-3.893698e-01,3.200441e-01,-5.075179e-02,5.261978e-02,2.196290e-01,-2.818145e-01,-4.984286e-01,2.578154e-01,-2.052334e-01,-4.622325e-01,-4.988096e-01,-3.000091e-01,2.423659e-01,-2.442143e-01,4.347401e-01,-4.308653e-02,4.459987e-01,-4.295073e-01,-4.764363e-01,8.252497e-02,-1.241956e-01,3.560002e-02,-3.416359e-01,4.778157e-02,4.150324e-01,-1.212786e-01,2.391644e-01,1.815913e-01,3.791866e-01,7.568825e-02,-4.603597e-02,3.585001e-03
